koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_impact,koi_steff,koi_slogg,koi_srad,koi_period_err1,koi_depth_err1,koi_duration_err1,label
8.35389523,2.2514,1041.6,43.4,2.52,1.0,0,0,0,0,0.023,5592.0,4.582,0.787,1.524e-05,28.2,0.0518,transit
4.125543472,3.1744,1487.3,128.6,4.43,1.0,0,0,0,0,0.597,6174.0,4.417,1.103,3.133e-06,13.3,0.0362,transit
2.816504904,2.50587,16814.0,1406.8,12.21,1.0,0,0,0,0,0.105,5532.0,4.452,0.955,1.65e-07,11.0,0.00666,transit
33.93373447,14.561,8503.7,236.1,7.34,0.0,0,1,1,0,0.812,5040.0,4.628,0.705,6.154e-05,44.3,0.104,eclipsing_binary
3.689920099,2.6557,426.7,35.6,1.89,1.0,0,0,0,0,0.151,5880.0,4.518,0.917,8.982e-06,13.8,0.0677,transit
4.431238488,3.15,1010.9,71.1,3.25,1.0,0,0,0,0,0.405,5714.0,4.428,1.015,6.106e-06,15.2,0.0423,transit
11.37936986,2.6255,1023.5,37.9,3.95,1.0,0,0,0,0,0.911,5714.0,4.428,1.015,2.415e-05,29.7,0.073,transit
26.39432897,3.573,1510.9,48.2,3.07,1.0,0,0,0,0,0.602,5129.0,4.595,0.763,5.724e-05,36.3,0.0643,transit
13.57078281,3.3539,511.7,88.4,2.64,1.0,0,0,0,0,0.866,5854.0,4.406,1.012,1.585e-05,6.3,0.0489,transit
7.12594387,3.0014,192.4,47.1,1.79,1.0,0,0,0,0,0.898,5779.0,4.339,1.087,1.406e-05,4.4,0.0384,transit
7.442652004,2.3078,24446.0,835.6,15.03,0.014,0,1,0,0,0.137,6108.0,4.469,0.956,7.02e-07,37.8,0.0129,eclipsing_binary
16.38489988,3.0249,1127.1,28.9,2.0,1.0,0,0,0,0,0.001,4126.0,4.661,0.615,5.219e-05,42.0,0.0798,transit
7.8774163,2.0805,1306.1,38.7,2.16,1.0,0,0,0,0,0.041,4126.0,4.661,0.615,1.493e-05,37.7,0.0517,transit
36.4454001,4.007,1122.3,21.7,1.99,1.0,0,0,0,0,0.028,4126.0,4.661,0.615,0.0001809,53.4,0.126,transit
3.728732147,2.683,5226.5,345.2,6.02,1.0,0,0,0,0,0.558,5497.0,4.577,0.809,9.36e-07,18.5,0.035,transit
40.4195037,3.362,6256.0,36.9,7.51,0.999,0,0,0,0,0.911,5446.0,4.507,0.781,0.0001139,230.0,0.14,candidate
2.243380573,1.1196,821.7,38.9,1.99,1.0,0,0,0,0,0.915,4149.0,4.698,0.564,2.67e-06,25.6,0.0384,transit
10.405998015,6.5036,14489.0,745.2,11.23,0.0,0,1,0,0,0.324,5746.0,4.393,0.924,2.515e-06,22.4,0.0145,eclipsing_binary
2.337437946,1.9982,971.2,82.4,2.34,1.0,0,0,0,0,0.28,5005.0,4.595,0.765,1.951e-06,13.7,0.0271,transit
7.2406612,0.558,556.4,13.7,19.45,0.993,0,0,0,0,1.198,5005.0,4.595,0.765,1.617e-05,44.1,0.171,candidate
3.43591631,3.133,23.2,8.7,0.55,0.871,0,0,0,0,0.624,5779.0,4.339,1.087,4.729e-05,3.4,0.407,candidate
11.59822233,2.5237,2804.5,71.0,2.65,1.0,0,0,0,0,0.679,3688.0,4.79,0.473,1.407e-05,46.3,0.052,transit
6.575315881,4.3084,2793.3,221.1,5.31,1.0,0,0,0,0,0.39,5992.0,4.415,0.989,3.726e-06,14.9,0.0306,transit
7.275040844,7.5377,3001.0,312.1,4.86,1.0,0,0,0,0,0.547,5485.0,4.556,0.867,4.677e-06,11.5,0.0681,transit
19.27153892,2.7594,1219.8,37.1,1.93,1.0,0,0,0,0,0.031,4077.0,4.702,0.56,4.145e-05,35.3,0.0551,transit
10.06524317,1.369,1053.3,30.3,1.91,1.0,0,0,0,0,0.628,4077.0,4.702,0.56,1.49e-05,39.2,0.0393,transit
