TIC ID,TFOPWG Disposition
437333618,KP
198008005,CP
150430484,PC
372913430,FP
309254930,PC
238898571,PC
231728511,PC
44797824,APC
381976956,FA
358460246,PC
271596418,FP
200807066,FA
219229644,PC
219344917,CP
220459826,PC
220459826,PC
237920046,PC
232025086,PC
219380235,FA
92013169,FP
177162886,PC
210873792,PC
214361331,PC
216935214,APC
238197638,PC
261257684,CP
261257684,CP
261867566,CP
298372701,PC
305424003,CP
350153977,CP
364107753,FP
369327947,CP
389070884,APC
406941612,CP
407126408,CP
407126408,PC
153027658,FP
259389219,FP
294869729,FP
150167117,APC
278775625,PC
301051430,FP
382068562,PC
300599466,FP
176796997,PC
261258875,FP
300557619,FP
175532955,PC
100921768,PC
206474443,PC
260417932,PC
260417932,PC
260130483,PC
220475245,PC
260476837,FP
278198753,PC
219205407,FP
449050247,FP
319312479,PC
449050248,FP
44792534,CP
25799609,PC
178367144,KP
445586472,FP
174599051,PC
333821572,FP
73038411,PC
127476180,FP
148659924,FP
320536216,FP
207277638,APC
88684250,PC
7561203,PC
259353953,PC
341729521,FP
341186896,FP
88863718,PC
238597883,FP
169904935,FP
440801822,FP
107782586,PC
114018671,PC
96246348,FP
155044736,FP
341420329,PC
141482386,FP
297967252,FP
388624270,FP
447283466,FP
464296022,FP
304021498,FP
149601557,FP
361413119,PC
363260203,FP
461867584,APC
310483807,FP
385624852,FP
360286627,FP
90448944,FP
463402815,PC
309787037,FP
370745311,FP
384549882,FP
16288184,KP
66818296,KP
259863352,FA
317060587,CP
112395568,FP
366989877,CP
320004517,CP
421894914,PC
323132914,PC
31553893,PC
380783252,PC
101230735,APC
253990973,FP
299799658,CP
406976746,PC
79748331,CP
79748331,CP
7088246,KP
201604954,KP
201642601,KP
6663331,KP
31858843,KP
31858844,FP
120247528,KP
140830390,FP
158297421,CP
327301957,PC
351601843,CP
360742636,KP
369960846,PC
370133522,CP
379240073,PC
161032923,CP
253728991,PC
261108236,PC
322270620,PC
380589029,KP
381979901,APC
468148930,PC
426077080,FP
343648136,FA
129319156,FP
361034196,FP
193413306,PC
387079085,FP
382331352,FP
136274063,APC
375223080,PC
375225453,FP
360630575,CP
383390264,CP
290348383,CP
318608749,FP
271581073,FP
311890977,FP
351603103,PC
451599528,FP
274151135,PC
384513078,PC
394561119,CP
295599256,FP
50309953,FP
446549905,FP
412014494,FP
369864738,FP
290348382,FP
409934330,APC
379286801,APC
304100538,PC
295541511,PC
90919952,FP
261369656,APC
143257766,FP
24094603,FP
304774444,FP
469782185,APC
128790976,APC
80166433,PC
405862830,FP
269450900,FP
425721385,FP
91576611,FP
254113311,CP
254113311,CP
198213332,PC
267489265,FP
69997672,FP
122220263,FP
154872375,CP
142276270,CP
142276270,CP
142276270,CP
142276270,CP
89389197,PC
110428269,FP
202563254,PC
320525204,FP
159510109,FP
284450803,FP
160268701,FP
28230919,KP
350995812,FP
21755546,FP
288391628,FP
349827430,KP
117789567,APC
16740101,KP
69679391,KP
237184773,FA
154840461,APC
459970307,PC
