flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
765.5211,6.459791,0.0053304876,1367415,1890.437937554291,1759.2677885220228,650.9462,4.273257,544.3662,1.4921472,765.5211,6.459791,0,,,,,1890.437937554291,0.0031305947,1759.2677885220228,0.003163134,-0.008298167,-0.070146106
771.9337,6.4512506,0.005330523,1367416,1890.4350810880037,1759.271515455814,655.3775,4.2676077,545.15173,1.4917516,771.9337,6.4512506,0,,,,,1890.4350810880037,0.003105955,1759.271515455814,0.00313322,-0.01133779,-0.07539854
775.74646,6.469753,0.005330558,1367417,1890.4321044513981,1759.2699690139716,658.09924,4.279847,543.29205,1.491393,775.74646,6.469753,0,,,,,1890.4321044513981,0.00310137,1759.2699690139716,0.003131359,-0.010190207,-0.07113583
770.2789,6.454648,0.005330593,1367418,1890.4397599697847,1759.2676817243187,653.6072,4.269855,542.81335,1.4900898,770.2789,6.454648,0,,,,,1890.4397599697847,0.0031149602,1759.2676817243187,0.003146431,-0.0057664583,-0.07811485
766.7694,6.4477015,0.005330628,1367419,1890.4396725738727,1759.2673064222988,651.637,4.2652597,544.2426,1.4908241,766.7694,6.4477015,0,,,,,1890.4396725738727,0.003121629,1759.2673064222988,0.0031530396,-0.0068655596,-0.075245805
753.48047,6.435239,0.0053306627,1367420,1890.4355308709546,1759.2644800698292,642.83984,4.257015,546.99335,1.4934585,753.48047,6.435239,0,,,,,1890.4355308709546,0.003158687,1759.2644800698292,0.0031917316,-0.010531942,-0.06866582
767.6379,6.447952,0.0053306976,1367421,1890.440213422687,1759.266271302247,652.15906,4.265425,544.5289,1.492478,767.6379,6.447952,0,,,,,1890.440213422687,0.0031197057,1759.266271302247,0.0031497844,-0.004837723,-0.07627921
778.5251,6.461504,0.005330733,1367422,1890.4338918499982,1759.2700505645746,659.1764,4.27439,545.0321,1.490803,778.5251,6.461504,0,,,,,1890.4338918499982,0.0030939707,1759.2700505645746,0.0031208321,-0.005852191,-0.076802246
778.60565,6.4504223,0.005330768,1367423,1890.4385519530674,1759.2696409751143,659.6149,4.26706,541.92566,1.4887888,778.60565,6.4504223,0,,,,,1890.4385519530674,0.0030858342,1759.2696409751143,0.0031122756,-0.009283862,-0.07185587
776.5912,6.455712,0.005330803,1367424,1890.4412197006695,1759.26534029646,657.5154,4.270559,544.07587,1.4921671,776.5912,6.455712,0,,,,,1890.4412197006695,0.0030978047,1759.26534029646,0.0031271821,-0.005299402,-0.07393801
781.91315,6.462595,0.005330838,1367425,1890.4402846969285,1759.267714701868,661.3094,4.275112,543.6014,1.4893217,781.91315,6.462595,0,,,,,1890.4402846969285,0.003083944,1759.267714701868,0.0031117988,-0.00947067,-0.07109604
773.423,6.454471,0.0053308727,1367426,1890.4404093292442,1759.264720303953,655.1576,4.269738,542.2376,1.4893818,773.423,6.454471,0,,,,,1890.4404093292442,0.0031099988,1759.264720303953,0.0031396213,-0.004050969,-0.078306675
773.95135,6.4524546,0.0053309076,1367427,1890.4362122736845,1759.2754512190145,656.3587,4.268404,542.69196,1.4925188,773.95135,6.4524546,0,,,,,1890.4362122736845,0.003102206,1759.2754512190145,0.0031273128,-0.012451392,-0.066106506
774.5866,6.4465327,0.0053309426,1367428,1890.4353384431142,1759.2639953409173,655.919,4.264487,542.02563,1.4899833,774.5866,6.4465327,0,,,,,1890.4353384431142,0.0031016115,1759.2639953409173,0.0031306576,-0.005899522,-0.080555476
770.4812,6.4475193,0.0053309775,1367429,1890.4398240375317,1759.2704029095355,654.03516,4.265139,542.5379,1.4889143,770.4812,6.4475193,0,,,,,1890.4398240375317,0.0031117853,1759.2704029095355,0.0031397147,-0.006207553,-0.06833714
783.14764,6.4626975,0.0053310124,1367430,1890.4349749373382,1759.269655262771,662.1157,4.27518,543.5949,1.4891815,783.14764,6.4626975,0,,,,,1890.4349749373382,0.0030812563,1759.269655262771,0.0031070889,-0.012884326,-0.06621678
777.1421,6.448176,0.0053310473,1367431,1890.4372853112638,1759.2702410435747,657.70154,4.2655735,539.9875,1.4875187,777.1421,6.448176,0,,,,,1890.4372853112638,0.0030941295,1759.2702410435747,0.0031207907,-0.009425045,-0.07190928
763.469,6.4393306,0.0053310823,1367432,1890.4402814712575,1759.2721514584093,648.8205,4.259722,545.9431,1.4909505,763.469,6.4393306,0,,,,,1890.4402814712575,0.00313153,1759.2721514584093,0.0031613756,-0.0057845777,-0.068569206
775.2895,6.4527197,0.005331117,1367433,1890.445034368711,1759.2617075165906,655.66626,4.2685795,543.3585,1.491107,775.2895,6.4527197,0,,,,,1890.445034368711,0.0031052164,1759.2617075165906,0.003136579,-0.003628079,-0.08319136
776.13257,6.4528117,0.0053311517,1367434,1890.4337326936127,1759.2682533467691,656.4036,4.26864,544.0429,1.4904361,776.13257,6.4528117,0,,,,,1890.4337326936127,0.003103078,1759.2682533467691,0.0031304425,-0.010396144,-0.07112617
776.5597,6.4715667,0.0053311866,1367435,1890.4406839830558,1759.2675414155578,657.42554,4.281047,543.5968,1.4899373,776.5597,6.4715667,0,,,,,1890.4406839830558,0.003108589,1759.2675414155578,0.0031374476,-0.004986347,-0.074986055
768.79504,6.446442,0.0053312215,1367436,1890.4345116006677,1759.2717483248396,651.9826,4.2644267,543.79016,1.4901732,768.79504,6.446442,0,,,,,1890.4345116006677,0.0031204645,1759.2717483248396,0.003148196,-0.012214672,-0.067728855
786.77606,6.4664507,0.0053312564,1367437,1890.4457052731618,1759.2625635235468,663.6664,4.2776623,542.289,1.491652,786.77606,6.4664507,0,,,,,1890.4457052731618,0.0030745661,1759.2625635235468,0.0031035163,-0.0049845907,-0.07223861
770.62537,6.445276,0.0053312914,1367438,1890.4431049535417,1759.2649875826273,652.0866,4.263655,543.6857,1.4890802,770.62537,6.445276,0,,,,,1890.4431049535417,0.0031182228,1759.2649875826273,0.003149793,-0.0070331804,-0.077625655
777.4561,6.4559145,0.0053313263,1367439,1890.4342022641592,1759.2700207574692,657.5421,4.270693,545.56134,1.4923986,777.4561,6.4559145,0,,,,,1890.4342022641592,0.0030986767,1759.2700207574692,0.0031253546,-0.008202794,-0.06891232
774.2751,6.4494777,0.0053313607,1367440,1890.4357403395506,1759.269016193524,654.70325,4.2664347,544.5337,1.4895008,774.2751,6.4494777,0,,,,,1890.4357403395506,0.003108984,1759.269016193524,0.0031371163,-0.009239352,-0.072764315
781.9566,6.4595084,0.0053313957,1367441,1890.4381896216828,1759.2703702767328,660.03296,4.2730703,543.73975,1.4896114,781.9566,6.4595084,0,,,,,1890.4381896216828,0.0030890182,1759.2703702767328,0.003115397,-0.0063506695,-0.07262968
783.2212,6.4613585,0.0053314306,1367442,1890.4362017891726,1759.2708048069126,661.09296,4.274294,543.9523,1.4906496,783.2212,6.4613585,0,,,,,1890.4362017891726,0.0030852105,1759.2708048069126,0.0031107122,-0.008167511,-0.07205157
769.4834,6.4492407,0.0053314655,1367443,1890.4369499162729,1759.2672655664076,652.237,4.2662783,542.9946,1.4918051,769.4834,6.4492407,0,,,,,1890.4369499162729,0.0031198114,1759.2672655664076,0.0031499325,-0.007594221,-0.070885636
782.912,6.4607635,0.0053315,1367444,1890.4390623952972,1759.271545645493,660.62726,4.2739005,543.1741,1.4894115,782.912,6.4607635,0,,,,,1890.4390623952972,0.0030868184,1759.271545645493,0.0031127755,-0.0069993273,-0.073844925
771.9129,6.44902,0.005331535,1367445,1890.4390636511876,1759.266616727818,653.52954,4.266132,544.64923,1.4920924,771.9129,6.44902,0,,,,,1890.4390636511876,0.003113495,1759.266616727818,0.0031432116,-0.0048089162,-0.07173613
773.9424,6.4486284,0.00533157,1367446,1890.443457133651,1759.2712664947933,654.5355,4.2658725,544.42474,1.4912806,773.9424,6.4486284,0,,,,,1890.443457133651,0.0031081804,1759.2712664947933,0.003136893,-0.004528286,-0.07631383
777.15356,6.4493036,0.0053316047,1367447,1890.430697810812,1759.2674817979535,656.76843,4.2663198,542.19434,1.4889216,777.15356,6.4493036,0,,,,,1890.430697810812,0.0031000709,1759.2674817979535,0.0031269642,-0.008762583,-0.06937799
775.20575,6.449123,0.005331639,1367448,1890.4370849295076,1759.2702761536793,655.49786,4.2661996,543.30035,1.4894819,775.20575,6.449123,0,,,,,1890.4370849295076,0.003104786,1759.2702761536793,0.0031323035,-0.0044885827,-0.075540714
768.2595,6.4425683,0.005331674,1367449,1890.434450750798,1759.2669724042419,650.61707,4.261864,544.67426,1.4915304,768.2595,6.4425683,0,,,,,1890.434450750798,0.0031249768,1759.2669724042419,0.0031543977,-0.008300933,-0.07026269
767.89624,6.4500237,0.0053317086,1367450,1890.4420875323258,1759.270326631879,649.9853,4.266796,543.4743,1.492022,767.89624,6.4500237,0,,,,,1890.4420875323258,0.0031308746,1759.270326631879,0.0031617868,-0.0057787877,-0.07012219
782.3827,6.459484,0.0053317435,1367451,1890.438125916355,1759.2682975277582,659.85706,4.273054,543.4833,1.4904088,782.3827,6.459484,0,,,,,1890.438125916355,0.003089333,1759.2682975277582,0.0031168184,-0.008803925,-0.07249983
776.6857,6.4552345,0.0053317784,1367452,1890.4380361517133,1759.2693821395546,656.1043,4.270243,544.3745,1.4905611,776.6857,6.4552345,0,,,,,1890.4380361517133,0.0031050663,1759.2693821395546,0.003133083,-0.008560791,-0.072003745
764.90015,6.4400973,0.005331813,1367453,1890.439211903079,1759.26640704535,648.5031,4.2602296,544.4371,1.4913877,764.90015,6.4400973,0,,,,,1890.439211903079,0.003133537,1759.26640704535,0.003164991,-0.0069695697,-0.07086601
778.9183,6.458101,0.005331848,1367454,1890.4411700469427,1759.2709597188846,658.0482,4.272139,544.44965,1.4913627,778.9183,6.458101,0,,,,,1890.4411700469427,0.0030967055,1759.2709597188846,0.0031240787,-0.0042795865,-0.07190339
766.2043,6.4445324,0.0053318823,1367455,1890.4350091097367,1759.2651207285294,649.4607,4.263163,544.8352,1.4908456,766.2043,6.4445324,0,,,,,1890.4350091097367,0.0031314439,1759.2651207285294,0.0031626697,-0.012847474,-0.06873536
776.622,6.466623,0.005331917,1367456,1890.4390215288945,1759.268168975195,655.6313,4.2777762,544.3614,1.4910783,776.622,6.466623,0,,,,,1890.4390215288945,0.0031114588,1759.268168975195,0.0031430088,-0.00525998,-0.073041804
780.4799,6.458918,0.0053319517,1367457,1890.437671445998,1759.2667543424552,658.8298,4.27268,544.19775,1.4929652,780.4799,6.458918,0,,,,,1890.437671445998,0.003093428,1759.2667543424552,0.0031216708,-0.0073411916,-0.07066112
771.3898,6.4416223,0.0053319866,1367458,1890.439069769936,1759.2629844439527,652.4455,4.261238,542.0245,1.488073,771.3898,6.4416223,0,,,,,1890.439069769936,0.0031155571,1759.2629844439527,0.0031465911,-0.006192211,-0.07313715
791.08765,6.464934,0.005332021,1367459,1890.4347572013326,1759.2721613145684,665.4577,4.276659,541.64246,1.487256,791.08765,6.464934,0,,,,,1890.4347572013326,0.0030675877,1759.2721613145684,0.003091128,-0.006707319,-0.07169483
778.025,6.44867,0.0053320555,1367460,1890.4410950797512,1759.267611814638,656.9923,4.2659,541.62866,1.4895935,778.025,6.44867,0,,,,,1890.4410950797512,0.0030969037,1759.267611814638,0.0031252303,-0.0073407195,-0.06953616
