flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
3895.885,9.329316,0.0030498584,1091910,1933.2521229104873,648.358848293873,3317.3281,7.692406,784.4324,2.698875,3895.885,9.329316,0,,,,,1933.2521229104873,0.0014594536,648.358848293873,0.0018570465,-0.018398482,0.044472635
3905.048,9.328538,0.0030498742,1091911,1933.2524821744967,648.3561537284869,3324.5376,7.6917644,777.54877,2.6956131,3905.048,9.328538,0,,,,,1933.2524821744967,0.0014564855,648.3561537284869,0.00185112,-0.018525856,0.041158635
3919.5955,9.341774,0.00304989,1091912,1933.2511674973543,648.3641086340451,3336.6362,7.7026777,774.8203,2.6954138,3919.5955,9.341774,0,,,,,1933.2511674973543,0.0014555054,648.3641086340451,0.0018455564,-0.016655603,0.047192637
3906.7961,9.331526,0.0030499056,1091913,1933.2533294135765,648.3576925415105,3325.6086,7.694228,779.9932,2.6954327,3906.7961,9.331526,0,,,,,1933.2533294135765,0.0014550516,648.3576925415105,0.0018559034,-0.016190454,0.04392436
3905.5408,9.332649,0.0030499215,1091914,1933.2541488505472,648.3652654643745,3324.1233,7.695154,785.5727,2.6988187,3905.5408,9.332649,0,,,,,1933.2541488505472,0.0014554029,648.3652654643745,0.001854574,-0.015357835,0.048066985
3897.1133,9.321746,0.0030499687,1091917,1933.2564237113872,648.344268950494,3308.716,7.6861644,775.75903,2.692534,3897.1133,9.321746,0,,,,,1933.2564237113872,0.0014629214,648.344268950494,0.0018703492,-0.01524647,0.020622069
3893.36,9.313594,0.00305,1091919,1933.251212338781,648.3450484052792,3301.7314,7.679443,776.4627,2.6985176,3893.36,9.313594,0,,,,,1933.251212338781,0.0014638114,648.3450484052792,0.0018773441,-0.018833729,0.019728001
3904.5273,9.323156,0.0030500311,1091921,1933.2485610920437,648.3662497170994,3310.2068,7.6873274,786.49005,2.6966188,3904.5273,9.323156,0,,,,,1933.2485610920437,0.0014627051,648.3662497170994,0.0018615142,-0.022701284,0.05340106
3901.8008,9.330645,0.0030500623,1091923,1933.257010255749,648.3477613035847,3321.7158,7.6935015,780.9873,2.697962,3901.8008,9.330645,0,,,,,1933.257010255749,0.0014604722,648.3477613035847,0.0018588029,-0.013028428,0.030852823
3903.5286,9.329287,0.0030500777,1091924,1933.2487515375237,648.3640203381422,3325.0994,7.692382,781.1884,2.6948807,3903.5286,9.329287,0,,,,,1933.2487515375237,0.0014566684,648.3640203381422,0.0018531091,-0.02371511,0.04964936
3893.588,9.317574,0.0030500933,1091925,1933.255756141738,648.3688551333877,3306.504,7.682724,781.49384,2.6988688,3893.588,9.317574,0,,,,,1933.255756141738,0.0014616787,648.3688551333877,0.0018641462,-0.01179176,0.049064536
3887.7466,9.327993,0.003050109,1091926,1933.2526982243703,648.3468868036771,3308.605,7.691316,781.2919,2.6978226,3887.7466,9.327993,0,,,,,1933.2526982243703,0.0014603481,648.3468868036771,0.0018683148,-0.019771459,0.030686721
3891.651,9.311676,0.0030501243,1091927,1933.253442965577,648.3666524204791,3312.2114,7.677861,773.913,2.6895735,3891.651,9.311676,0,,,,,1933.253442965577,0.0014620846,648.3666524204791,0.001855038,-0.016636115,0.054250345
3892.743,9.317851,0.0030501396,1091928,1933.2533069666351,648.3586970317494,3307.5508,7.6829534,780.0428,2.6960196,3892.743,9.317851,0,,,,,1933.2533069666351,0.0014627645,648.3586970317494,0.0018644214,-0.01456078,0.040732212
3903.198,9.325045,0.0030501552,1091929,1933.2508414776153,648.3637407692923,3318.9663,7.688884,776.777,2.6901076,3903.198,9.325045,0,,,,,1933.2508414776153,0.0014591505,648.3637407692923,0.001859898,-0.019840743,0.045214605
3889.508,9.314455,0.0030501706,1091930,1933.2551093672969,648.3616017226565,3308.942,7.680153,777.2606,2.6949327,3889.508,9.314455,0,,,,,1933.2551093672969,0.0014629264,648.3616017226565,0.0018605075,-0.017266078,0.04525585
3905.7266,9.34065,0.003050186,1091931,1933.2556607711492,648.3632204725842,3326.6013,7.701751,775.0477,2.6959097,3905.7266,9.34065,0,,,,,1933.2556607711492,0.0014577588,648.3632204725842,0.001854828,-0.0138789015,0.049072135
3907.1506,9.3287115,0.0030502013,1091932,1933.2534589971103,648.3529810746114,3328.1135,7.691908,777.8232,2.6905754,3907.1506,9.3287115,0,,,,,1933.2534589971103,0.0014567627,648.3529810746114,0.0018511206,-0.016818753,0.039535508
3894.3975,9.3257475,0.0030502167,1091933,1933.2542056058116,648.3624915719921,3319.5974,7.6894636,778.0043,2.6935043,3894.3975,9.3257475,0,,,,,1933.2542056058116,0.0014575933,648.3624915719921,0.0018574145,-0.014994777,0.04696153
3896.011,9.339742,0.003050232,1091934,1933.2537462248556,648.3621246891212,3320.2825,7.701002,783.3387,2.6987329,3896.011,9.339742,0,,,,,1933.2537462248556,0.0014597514,648.3621246891212,0.0018594244,-0.018843524,0.043086946
3905.7522,9.323415,0.0030502472,1091935,1933.2565440816866,648.3544011017282,3325.6343,7.6875405,774.3548,2.6857932,3905.7522,9.323415,0,,,,,1933.2565440816866,0.0014549363,648.3544011017282,0.0018569406,-0.011615788,0.03929399
3909.6992,9.339728,0.0030502626,1091936,1933.2535310295254,648.3681143237525,3326.1646,7.700992,784.9045,2.701679,3909.6992,9.339728,0,,,,,1933.2535310295254,0.0014570012,648.3681143237525,0.0018540107,-0.016846847,0.054603532
3894.297,9.323462,0.0030502777,1091937,1933.2521285000307,648.35942134983,3318.4321,7.687579,777.55994,2.6912386,3894.297,9.323462,0,,,,,1933.2521285000307,0.0014598884,648.35942134983,0.0018543168,-0.020233428,0.044294585
3912.3164,9.336312,0.003050293,1091938,1933.2521512748076,648.3613377717653,3331.3716,7.6981745,779.5437,2.6950204,3912.3164,9.336312,0,,,,,1933.2521512748076,0.0014537505,648.3613377717653,0.0018496566,-0.021238476,0.046594452
3906.689,9.328931,0.0030503082,1091939,1933.2576924697985,648.3594393855815,3324.693,7.6920886,778.6676,2.697338,3906.689,9.328931,0,,,,,1933.2576924697985,0.0014570653,648.3594393855815,0.0018559868,-0.012920226,0.043049995
3911.2751,9.331201,0.0030503233,1091940,1933.2531275085692,648.3541621721273,3328.8618,7.6939597,780.6451,2.6914618,3911.2751,9.331201,0,,,,,1933.2531275085692,0.0014546667,648.3541621721273,0.00185556,-0.01925125,0.040944524
3899.4185,9.325049,0.0030503385,1091941,1933.2522537841346,648.3673017605493,3321.8743,7.6888876,778.8252,2.6893916,3899.4185,9.325049,0,,,,,1933.2522537841346,0.0014586811,648.3673017605493,0.0018544791,-0.01892195,0.054359492
3908.5884,9.327493,0.0030503536,1091942,1933.254075631219,648.3626694929832,3331.6519,7.690902,775.83453,2.692003,3908.5884,9.327493,0,,,,,1933.254075631219,0.0014536865,648.3626694929832,0.0018459344,-0.014895906,0.049713496
3900.5645,9.325843,0.0030503687,1091943,1933.2513565092179,648.3659763677244,3320.2651,7.6895423,776.53925,2.692154,3900.5645,9.325843,0,,,,,1933.2513565092179,0.0014573993,648.3659763677244,0.0018550769,-0.022059273,0.051461272
3894.1006,9.321359,0.0030503839,1091944,1933.2551054498938,648.360644886823,3316.1401,7.685845,782.55347,2.6935394,3894.1006,9.321359,0,,,,,1933.2551054498938,0.0014596368,648.360644886823,0.00185642,-0.014945254,0.04464521
3901.2903,9.329603,0.003050399,1091945,1933.2557505752804,648.3581800951911,3324.446,7.6926427,782.05426,2.6942835,3901.2903,9.329603,0,,,,,1933.2557505752804,0.0014581673,648.3581800951911,0.0018545159,-0.012729307,0.04370887
3888.6924,9.328843,0.0030504141,1091946,1933.256899931234,648.3579318484437,3314.7004,7.692016,777.8669,2.692673,3888.6924,9.328843,0,,,,,1933.256899931234,0.0014575975,648.3579318484437,0.0018624325,-0.013861969,0.04089342
3885.504,9.328805,0.003050429,1091947,1933.2533283462565,648.3636396132591,3313.4272,7.6919847,782.86725,2.7032335,3885.504,9.328805,0,,,,,1933.2533283462565,0.0014617051,648.3636396132591,0.0018612922,-0.018985014,0.04878758
3882.8777,9.321959,0.0030504442,1091948,1933.2602164776513,648.34986067593,3307.7917,7.6863403,775.3524,2.6966166,3882.8777,9.321959,0,,,,,1933.2602164776513,0.0014637115,648.34986067593,0.0018618928,-0.008952336,0.035938386
3886.8118,9.316603,0.003050459,1091949,1933.2504648774714,648.3684204403985,3308.7559,7.681924,779.1277,2.6966097,3886.8118,9.316603,0,,,,,1933.2504648774714,0.0014623906,648.3684204403985,0.0018613761,-0.021482687,0.051364657
3894.9985,9.325971,0.003050474,1091950,1933.255120715301,648.3632684661883,3320.6797,7.6896477,779.93353,2.694695,3894.9985,9.325971,0,,,,,1933.255120715301,0.0014597281,648.3632684661883,0.0018560673,-0.013242678,0.051125795
3904.2683,9.3244915,0.0030504891,1091951,1933.248635804913,648.3530028363858,3323.7627,7.6884284,776.91833,2.692441,3904.2683,9.3244915,0,,,,,1933.248635804913,0.0014582995,648.3530028363858,0.001851583,-0.022045245,0.040424887
3901.073,9.325815,0.003050504,1091952,1933.256537231504,648.3626627502209,3326.2234,7.689519,779.86975,2.6913311,3901.073,9.325815,0,,,,,1933.256537231504,0.001454411,648.3626627502209,0.0018506815,-0.015430335,0.049913794
3896.6196,9.326574,0.003050519,1091953,1933.2575972615166,648.3605540527176,3323.46,7.690145,776.061,2.6907744,3896.6196,9.326574,0,,,,,1933.2575972615166,0.0014571495,648.3605540527176,0.0018521609,-0.0130149,0.043741696
3907.1292,9.334118,0.0030505338,1091954,1933.2525637387823,648.3629054009008,3331.195,7.6963654,779.6558,2.6928651,3907.1292,9.334118,0,,,,,1933.2525637387823,0.0014527766,648.3629054009008,0.0018480967,-0.018808234,0.047831625
3910.151,9.333099,0.0030505487,1091955,1933.2528896857707,648.3621866597156,3333.4395,7.6955256,774.2737,2.694815,3910.151,9.333099,0,,,,,1933.2528896857707,0.0014537062,648.3621866597156,0.00184871,-0.01559242,0.045166764
3897.4307,9.32915,0.0030505636,1091956,1933.2570303722653,648.3631827303094,3320.8235,7.69227,777.318,2.6955485,3897.4307,9.32915,0,,,,,1933.2570303722653,0.0014577416,648.3631827303094,0.0018563651,-0.013493026,0.046022665
3903.632,9.331386,0.0030505785,1091957,1933.254437949856,648.3640056494653,3327.5742,7.6941123,779.8901,2.6936224,3903.632,9.331386,0,,,,,1933.254437949856,0.0014563976,648.3640056494653,0.0018479796,-0.014819914,0.04964992
3897.2522,9.321544,0.0030505932,1091958,1933.2506138402744,648.3622295352236,3319.003,7.685998,779.7267,2.6930907,3897.2522,9.321544,0,,,,,1933.2506138402744,0.0014582749,648.3622295352236,0.0018559615,-0.020153694,0.041809004
3906.3665,9.330852,0.003050608,1091959,1933.253929480126,648.3723082370336,3328.1465,7.693672,776.46796,2.6909482,3906.3665,9.330852,0,,,,,1933.253929480126,0.0014567862,648.3723082370336,0.0018517841,-0.01480512,0.056399636
3902.9512,9.330182,0.0030506228,1091960,1933.2592327282732,648.3572760879931,3327.0415,7.69312,776.6377,2.691725,3902.9512,9.330182,0,,,,,1933.2592327282732,0.0014566474,648.3572760879931,0.0018526352,-0.008701894,0.038273267
3884.6511,9.32142,0.0030506377,1091961,1933.2503406854394,648.3543397409612,3309.4985,7.685895,779.21906,2.6972086,3884.6511,9.32142,0,,,,,1933.2503406854394,0.0014634731,648.3543397409612,0.0018619685,-0.020780042,0.04092408
3899.28,9.334256,0.0030506523,1091962,1933.2530900870531,648.3668047156369,3323.7776,7.69648,780.7523,2.7014818,3899.28,9.334256,0,,,,,1933.2530900870531,0.0014583473,648.3668047156369,0.0018555332,-0.016085876,0.05105903
3899.32,9.324424,0.003050667,1091963,1933.255722323807,648.3549007463603,3323.4583,7.688372,779.5783,2.6925123,3899.32,9.324424,0,,,,,1933.255722323807,0.0014531772,648.3549007463603,0.0018551003,-0.013940355,0.042071268
3913.6987,9.349606,0.0030506817,1091964,1933.2517531749581,648.3742327900437,3336.6143,7.709135,777.0433,2.6943264,3913.6987,9.349606,0,,,,,1933.2517531749581,0.0014528733,648.3742327900437,0.0018500282,-0.0157508,0.06181294
3878.9329,9.316812,0.0030506963,1091965,1933.2566639712704,648.3547705975044,3306.6255,7.682096,776.2548,2.696919,3878.9329,9.316812,0,,,,,1933.2566639712704,0.0014606225,648.3547705975044,0.0018613691,-0.014768273,0.03945481
3900.295,9.346385,0.003050711,1091966,1933.2521395372914,648.3669305512027,3321.8513,7.7064805,778.06305,2.7023816,3900.295,9.346385,0,,,,,1933.2521395372914,0.0014612394,648.3669305512027,0.0018585938,-0.01817494,0.04990225
3881.322,9.313818,0.0030507257,1091967,1933.2529225347103,648.3612159584117,3306.3904,7.679628,780.6015,2.6950781,3881.322,9.313818,0,,,,,1933.2529225347103,0.0014652957,648.3612159584117,0.0018570167,-0.014891675,0.048061
3915.6626,9.341811,0.0030507403,1091968,1933.257840608408,648.3587497026176,3336.3147,7.702709,783.5559,2.69286,3915.6626,9.341811,0,,,,,1933.257840608408,0.0014533137,648.3587497026176,0.0018524693,-0.01573816,0.04310276
3903.749,9.326823,0.003050755,1091969,1933.2554951636484,648.3711441740752,3325.5117,7.6903505,774.95166,2.6911223,3903.749,9.326823,0,,,,,1933.2554951636484,0.0014596509,648.3711441740752,0.0018524206,-0.012784682,0.056518305
3886.2314,9.318667,0.0030507694,1091970,1933.2583308734638,648.3542260693557,3314.5303,7.683626,776.9667,2.6900637,3886.2314,9.318667,0,,,,,1933.2583308734638,0.0014604246,648.3542260693557,0.0018547734,-0.011127725,0.03862384
3900.5454,9.325845,0.003050784,1091971,1933.2523585630693,648.3689749301434,3322.1985,7.689544,780.90063,2.6926496,3900.5454,9.325845,0,,,,,1933.2523585630693,0.0014592599,648.3689749301434,0.0018520503,-0.017852,0.0581468
