flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.0004088,0.0031361247,140295,1.0004088,1.0053959,0.0031361247,4096,73,1012.6956,123.88585,413.5,210.76,1.003934,1.0094839
0.99604183,0.0031361247,140296,0.99604183,1.0009584,0.0031361247,4096,74,1012.6905,123.87882,498.59,239.54,1.0024991,1.0006411
0.98996735,0.0031361247,140297,0.98996735,0.9948062,0.0031361247,4096,0,1012.6903,123.87971,542.93,201.51,0.99770975,0.9940989
0.99975854,0.0031361247,140298,0.99975854,1.0045975,0.0031361247,4096,0,1012.68915,123.88329,497.72,210.78,1.0033596,1.00667
0.9980435,0.0031361247,140299,0.9980435,1.002827,0.0031361247,4096,0,1012.6884,123.884315,532.42,180.85,1.001117,1.0045257
0.9944281,0.0031361247,140300,0.9944281,0.99914795,0.0031361247,4096,0,1012.6882,123.887215,612.42,224.67,0.9984471,0.99875325
0.99913794,0.0031361247,140301,0.99913794,1.003834,0.0031361247,4096,0,1012.6873,123.88999,512.25,222.81,1.0021564,1.0059702
0.99856347,0.0031361247,140302,0.99856347,1.0032114,0.0031361247,4096,0,1012.6866,123.889175,449.76,208.04,1.0008143,1.003618
0.99545383,0.0031361247,140303,0.99545383,1.0000424,0.0031361247,4096,0,1012.68787,123.8906,516.04,257.86,0.9997592,0.9991279
0.99584526,0.0031361247,140304,0.99584526,1.0003914,0.0031361247,0,0,1012.6874,123.89238,533.9,213.54,1.0006013,1.000174
0.99896693,0.0031361247,140305,0.99896693,1.0034833,0.0031361247,0,0,1012.6855,123.894104,388.26,223.76,1.0029179,1.0041114
0.9989846,0.0031361247,140306,0.9989846,1.0034577,0.0031361247,0,0,1012.6862,123.89554,502.68,190.25,1.001119,1.0045092
0.9969098,0.0031361247,140307,0.9969098,1.0013309,0.0031361247,0,0,1012.68805,123.89704,547.86,210.1,1.0010616,1.002288
0.99829876,0.0031361247,140308,0.99829876,1.0026836,0.0031361247,0,0,1012.6876,123.89696,492.56,236.27,1.001147,1.0043973
0.9958966,0.0031361247,140309,0.9958966,1.0002292,0.0031361247,0,0,1012.686,123.90242,573.91,234.1,0.99920696,0.99873763
0.9907495,0.0031361247,140310,0.9907495,0.9950188,0.0031361247,0,0,1012.6875,123.900215,577.2,171.36,0.99523145,0.99527305
0.99107516,0.0031361247,140311,0.99107516,0.99530536,0.0031361247,0,0,1012.6854,123.90168,590.99,201.82,0.99782735,0.99317825
0.99254465,0.0031361247,140312,0.99254465,0.9967411,0.0031361247,0,0,1012.68726,123.902176,567.63,233.14,0.99668604,0.99649215
0.9910394,0.0031361247,140313,0.9910394,0.99519,0.0031361247,0,0,1012.6875,123.90332,525.12,234.38,0.9935591,0.99585307
0.98689306,0.0031361247,140314,0.98689306,0.9909876,0.0031361247,0,0,1012.6875,123.90449,520.96,265.0,0.99307096,0.9894401
0.99266315,0.0031361247,140315,0.99266315,0.9967431,0.0031361247,0,0,1012.68774,123.90386,501.73,202.5,0.9945868,0.9976486
0.98567235,0.0031361247,140316,0.98567235,0.9896858,0.0031361247,0,0,1012.68756,123.9064,458.25,217.87,0.98906153,0.99098235
0.9887882,0.0031361247,140317,0.9887882,0.99277693,0.0031361247,0,0,1012.68695,123.90421,473.88,245.62,0.99036324,0.99440426
0.986669,0.0031361247,140318,0.986669,0.9906124,0.0031361247,0,0,1012.6888,123.90473,561.02,235.46,0.992581,0.9900317
0.9821136,0.0031361247,140319,0.9821136,0.9860026,0.0031361247,0,0,1012.6882,123.90348,496.33,227.76,0.99009925,0.98344743
0.993678,0.0031361247,140320,0.993678,0.99757665,0.0031361247,0,0,1012.6851,123.90745,559.21,249.24,0.996368,0.99863124
0.9971596,0.0031361247,140321,0.9971596,1.0010362,0.0031361247,0,0,1012.6871,123.906395,440.7,241.53,0.99985623,1.0025688
