flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
36091.957,22.93914,0.0047585466,91190,211.9858270659436,657.9721159713224,34362.562,21.645037,2092.6787,6.7887983,36091.957,22.93914,0,,,,,211.9858270659436,0.00051906885,657.9721159713224,0.0005396961,0.004019528,0.10601829
36070.68,22.934776,0.004758569,91191,211.9741841291452,657.9805608479735,34324.797,21.640919,2106.5398,6.7951393,36070.68,22.934776,0,,,,,211.9741841291452,0.00051959377,657.9805608479735,0.0005405749,-0.009384126,0.114980124
36069.453,22.936537,0.0047585913,91192,211.98087109663058,657.9895493165886,34319.61,21.642578,2110.6152,6.7969184,36069.453,22.936537,0,,,,,211.98087109663058,0.00051948364,657.9895493165886,0.0005400136,-0.0017701712,0.12388809
36059.94,22.931551,0.0047586365,91194,211.97919432287122,657.9968303122989,34299.46,21.637875,2102.91,6.8024387,36059.94,22.931551,0,,,,,211.97919432287122,0.00051975803,657.9968303122989,0.0005419688,-0.0036296374,0.1311236
36070.36,22.940552,0.004758659,91195,211.97532064769845,657.9738120079138,34331.387,21.646368,2110.3865,6.795998,36070.36,22.940552,0,,,,,211.97532064769845,0.0005199882,657.9738120079138,0.00054018997,-0.008199614,0.10659734
36106.375,22.945507,0.004758681,91196,211.97348551090178,657.984829629442,34356.855,21.651043,2100.0945,6.7956586,36106.375,22.945507,0,,,,,211.97348551090178,0.00051938806,657.984829629442,0.0005399243,-0.0109121585,0.11893998
36088.508,22.94609,0.004758704,91197,211.9705421610848,657.9856374778368,34347.016,21.651594,2103.7073,6.7972884,36088.508,22.94609,0,,,,,211.9705421610848,0.0005195355,657.9856374778368,0.0005397211,-0.011856454,0.11971221
36092.652,22.944654,0.0047587263,91198,211.9727650097,657.9917396454391,34345.242,21.650238,2110.8618,6.803565,36092.652,22.944654,0,,,,,211.9727650097,0.00051934813,657.9917396454391,0.0005398899,-0.010835189,0.12753539
36088.97,22.944859,0.0047587487,91199,211.97128818516515,657.9885036369817,34351.184,21.650434,2100.8574,6.7948275,36088.97,22.944859,0,,,,,211.97128818516515,0.000519486,657.9885036369817,0.0005394503,-0.013139566,0.1244808
36136.234,22.955322,0.004758771,91200,211.96914064040917,657.9921179731791,34379.176,21.660305,2098.4165,6.796559,36136.234,22.955322,0,,,,,211.96914064040917,0.0005193875,657.9921179731791,0.0005398271,-0.0140480315,0.12762627
36090.07,22.942612,0.004758794,91201,211.97218565491568,657.990724103275,34336.57,21.648312,2101.3342,6.7991257,36090.07,22.942612,0,,,,,211.97218565491568,0.00051996834,657.990724103275,0.0005399011,-0.0120646525,0.1255071
36116.23,22.948317,0.004758816,91202,211.96995602606137,657.9934644461949,34360.58,21.653696,2112.9583,6.7974,36116.23,22.948317,0,,,,,211.96995602606137,0.00051951036,657.9934644461949,0.00053949177,-0.012942544,0.12934935
36135.914,22.945374,0.0047588386,91203,211.97071850237637,657.9986731904181,34381.324,21.650917,2102.5034,6.788583,36135.914,22.945374,0,,,,,211.97071850237637,0.0005194655,657.9986731904181,0.0005395484,-0.011848587,0.13420697
36052.047,22.933836,0.004758861,91204,211.97065518207313,657.9898460797747,34298.766,21.640032,2114.0044,6.801462,36052.047,22.933836,0,,,,,211.97065518207313,0.00051989296,657.9898460797747,0.00054016267,-0.012783373,0.12580714
36063.2,22.932507,0.0047588833,91205,211.97281964342747,657.9916100954315,34310.64,21.638777,2104.943,6.7970104,36063.2,22.932507,0,,,,,211.97281964342747,0.00052008,657.9916100954315,0.0005398512,-0.01176503,0.12740332
36102.055,22.947176,0.0047589056,91206,211.96940557268655,657.9905663701976,34352.758,21.65262,2102.3206,6.796853,36102.055,22.947176,0,,,,,211.96940557268655,0.0005200295,657.9905663701976,0.0005400262,-0.014708346,0.12541239
36108.727,22.947184,0.0047589284,91207,211.97069956096806,657.9914777637159,34356.035,21.652628,2104.5483,6.801164,36108.727,22.947184,0,,,,,211.97069956096806,0.00051923085,657.9914777637159,0.00053978176,-0.012474026,0.1264613
36059.492,22.927597,0.004758951,91208,211.9685827118783,657.9911075083569,34303.863,21.634146,2104.941,6.7920456,36059.492,22.927597,0,,,,,211.9685827118783,0.0005204843,657.9911075083569,0.0005397839,-0.015834812,0.12646565
36111.188,22.945429,0.004758973,91209,211.97353644356866,657.9935089817061,34353.637,21.65097,2101.9177,6.7972355,36111.188,22.945429,0,,,,,211.97353644356866,0.0005190426,657.9935089817061,0.0005398692,-0.010743166,0.12992547
36134.01,22.954483,0.0047589955,91210,211.97116077272972,657.9949892313329,34378.016,21.659512,2100.7834,6.793226,36134.01,22.954483,0,,,,,211.97116077272972,0.0005191473,657.9949892313329,0.0005396233,-0.012341188,0.13091531
36074.727,22.932583,0.004759018,91211,211.96959811472672,657.9889298845923,34317.855,21.63885,2099.2434,6.7875857,36074.727,22.932583,0,,,,,211.96959811472672,0.0005202864,657.9889298845923,0.00053995056,-0.014253366,0.123457655
36089.285,22.93899,0.00475904,91212,211.96708560384138,658.0030883658887,34312.83,21.644896,2109.5251,6.8121605,36089.285,22.93899,0,,,,,211.96708560384138,0.00052152906,658.0030883658887,0.00053978874,-0.018005885,0.13970937
36070.95,22.926407,0.0047590625,91213,211.97348356901057,657.9804188898889,34324.656,21.633022,2093.3418,6.7787085,36070.95,22.926407,0,,,,,211.97348356901057,0.0005194116,657.9804188898889,0.000540099,-0.009521234,0.115215525
36111.547,22.95409,0.004759085,91214,211.96895387652623,657.9938205524418,34354.957,21.659142,2111.5554,6.82144,36111.547,22.95409,0,,,,,211.96895387652623,0.0005199344,657.9938205524418,0.00053990004,-0.0151016945,0.13033506
