flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.7700757,0.003681046,23228,1.7700757,1.7962291,0.003681046,4096,37,379.53894,714.17633,-95320.16,2384.87,1.4035425,2.4631743
1.7806785,0.003681046,23229,1.7806785,1.8078122,0.003681046,4096,37,379.53665,714.1754,-95752.69,2532.99,1.4084826,2.4728231
1.7744339,0.003681046,23230,1.7744339,1.8022599,0.003681046,4096,37,379.5365,714.1776,-95362.67,2269.74,1.403656,2.4549491
0.97114044,0.003681046,23231,0.97114044,0.9867826,0.003681046,4096,37,379.53568,714.1764,-56918.1,1047.04,1.004465,1.1009942
1.7758409,0.003681046,23232,1.7758409,1.8051655,0.003681046,4096,37,379.5378,714.17737,-95285.11,2576.78,1.4044416,2.439419
1.781686,0.003681046,23233,1.781686,1.8117992,0.003681046,4096,37,379.53528,714.1762,-95694.38,2291.45,1.405509,2.442989
1.7852896,0.003681046,23234,1.7852896,1.816125,0.003681046,4096,37,379.53735,714.1755,-95928.45,2465.02,1.4049338,2.4423711
0.9795882,0.003681046,23235,0.9795882,0.99685425,0.003681046,4096,37,379.53482,714.17346,-56982.84,1096.45,1.0086762,1.0995513
1.7780522,0.003681046,23236,1.7780522,1.809989,0.003681046,4096,37,379.53537,714.17816,-95475.02,2239.14,1.3998858,2.414679
1.7842021,0.003681046,23237,1.7842021,1.8168191,0.003681046,4096,37,379.5359,714.1764,-95902.5,2452.08,1.401089,2.4216354
1.7825152,0.003681046,23238,1.7825152,1.8156402,0.003681046,4096,37,379.53506,714.17413,-95872.28,2248.19,1.4006816,2.4129045
0.97756547,0.003681046,23239,0.97756547,0.9960123,0.003681046,4096,37,379.53476,714.1733,-57231.62,1248.39,1.0031804,1.0863819
1.7663076,0.003681046,23240,1.7663076,1.8001161,0.003681046,4096,37,379.53296,714.1716,-94964.1,2477.62,1.3917217,2.3715239
1.782545,0.003681046,23241,1.782545,1.8171176,0.003681046,4096,37,379.534,714.1753,-95666.56,2399.52,1.400705,2.3901484
1.7733153,0.003681046,23242,1.7733153,1.8081346,0.003681046,4096,37,379.53284,714.1712,-95246.05,2302.51,1.3939116,2.3707676
0.97299206,0.003681046,23243,0.97299206,0.992315,0.003681046,4096,37,379.53397,714.1715,-56857.67,1089.16,0.9984719,1.0669659
1.7789874,0.003681046,23244,1.7789874,1.8146899,0.003681046,4096,37,379.53403,714.16907,-95544.32,2311.98,1.3960497,2.3675067
1.7837994,0.003681046,23245,1.7837994,1.8199465,0.003681046,4096,37,379.53488,714.1741,-95728.62,2266.92,1.3972654,2.3668249
1.7781994,0.003681046,23246,1.7781994,1.814556,0.003681046,4096,37,379.53268,714.1709,-95664.97,2317.24,1.3939226,2.357718
0.9774971,0.003681046,23247,0.9774971,0.9976461,0.003681046,4096,37,379.53128,714.17206,-56881.72,1191.13,1.0027742,1.0626411
1.7836316,0.003681046,23248,1.7836316,1.8206723,0.003681046,4096,37,379.53165,714.1699,-95823.3,2382.93,1.395704,2.353838
1.7865801,0.003681046,23249,1.7865801,1.8239344,0.003681046,4096,37,379.52963,714.17255,-96128.78,2296.57,1.3960805,2.3571506
1.766552,0.003681046,23250,1.766552,1.8037138,0.003681046,4096,37,379.53006,714.171,-95249.25,2314.26,1.3857555,2.319544
0.9784842,0.003681046,23251,0.9784842,0.9991808,0.003681046,4096,37,379.5308,714.1706,-57067.92,1227.85,0.99965924,1.0566602
1.7840923,0.003681046,23252,1.7840923,1.8220129,0.003681046,4096,37,379.5319,714.1732,-95547.52,2195.41,1.3962276,2.333538
1.7669004,0.003681046,23253,1.7669004,1.804617,0.003681046,4096,37,379.53207,714.16907,-95097.58,2501.81,1.387234,2.3057957
,0.003681046,23254,,,0.003681046,4096,37,379.5297,714.17255,,,,
0.97715163,0.003681046,23255,0.97715163,0.99815536,0.003681046,4096,37,379.52737,714.16956,-57129.45,1333.03,0.9986754,1.0467664
1.7684956,0.003681046,23256,1.7684956,1.8066106,0.003681046,4096,37,379.52982,714.1716,-95112.28,2222.98,1.3872864,2.2930815
1.7732886,0.003681046,23257,1.7732886,1.8115907,0.003681046,4096,37,379.5279,714.17004,-95311.84,2221.68,1.3881018,2.2989924
,0.003681046,23258,,,0.003681046,4096,37,379.52814,714.172,,,,
0.9838712,0.003681046,23259,0.9838712,1.0051843,0.003681046,4096,37,379.52832,714.1722,-57323.11,1369.77,1.0025021,1.0492251
1.7760836,0.003681046,23260,1.7760836,1.8145895,0.003681046,4096,37,379.52762,714.17035,-95385.16,2642.49,1.3889691,2.2891831
1.7831466,0.003681046,23261,1.7831466,1.8218193,0.003681046,4096,37,379.53128,714.1708,-95517.83,2375.73,1.3933595,2.2963405
1.7801111,0.003681046,23262,1.7801111,1.8187159,0.003681046,4096,37,379.5268,714.1715,-95734.0,2486.4,1.3916569,2.2913942
0.9764793,0.003681046,23263,0.9764793,0.9976461,0.003681046,4096,37,379.52753,714.1724,-56933.62,1272.4,1.0008252,1.0298606
1.773146,0.003681046,23264,1.773146,1.8115494,0.003681046,4096,37,379.52548,714.1708,-95416.17,2524.7,1.3885481,2.273621
1.7778809,0.003681046,23265,1.7778809,1.8163388,0.003681046,4096,37,379.5255,714.17236,-95462.45,2431.0,1.3916764,2.2757049
,0.003681046,23266,,,0.003681046,4096,37,379.52533,714.1725,,,,
0.9763821,0.003681046,23267,0.9763821,0.99742883,0.003681046,4096,37,379.5265,714.17175,-57017.09,970.31,0.9988535,1.0263001
1.7777088,0.003681046,23268,1.7777088,1.8159432,0.003681046,4096,37,379.529,714.1708,-95225.19,2587.67,1.3909994,2.2633634
1.7776481,0.003681046,23269,1.7776481,1.8157821,0.003681046,4096,37,379.5265,714.1735,-95145.73,2594.59,1.3904912,2.2628584
,0.003681046,23270,,,0.003681046,4096,37,379.5264,714.17303,,,,
0.97307795,0.003681046,23271,0.97307795,0.9938258,0.003681046,4096,37,379.52536,714.17194,-55627.16,876.54,0.99580234,1.0171845
1.7744246,0.003681046,23272,1.7744246,1.812127,0.003681046,4096,37,379.5266,714.17206,-93535.92,2402.62,1.3879788,2.2499795
1.7770991,0.003681046,23273,1.7770991,1.814717,0.003681046,4096,37,379.52457,714.17267,-92642.46,2666.6,1.3901871,2.2507129
,0.003681046,23274,,,0.003681046,4096,37,379.52673,714.17267,,,,
0.9796678,0.003681046,23275,0.9796678,1.0002354,0.003681046,4096,37,379.52646,714.171,-52832.84,1199.2,0.9978529,1.0217415
1.783434,0.003681046,23276,1.783434,1.8207091,0.003681046,4096,37,379.52716,714.1744,-90582.99,2277.31,1.3939924,2.2529063
1.7752253,0.003681046,23277,1.7752253,1.8121542,0.003681046,4096,37,379.52594,714.1727,-89137.13,2336.57,1.3879422,2.2386072
,0.003681046,23278,,,0.003681046,4096,37,379.52515,714.17426,,,,
0.9882207,0.003681046,23279,0.9882207,1.0085734,0.003681046,4096,37,379.524,714.17395,-49231.23,690.84,1.0054519,1.0276341
1.77457,0.003681046,23280,1.77457,1.810924,0.003681046,4096,37,379.52435,714.1722,-86326.0,2291.9,1.3882531,2.234884
1.7781056,0.003681046,23281,1.7781056,1.8143345,0.003681046,4096,37,379.52594,714.17413,-85448.05,2121.04,1.390225,2.2346132
,0.003681046,23282,,,0.003681046,4096,37,379.5254,714.17426,,,,
0.98086625,0.003681046,23283,0.98086625,1.0006247,0.003681046,4096,37,379.52628,714.17676,-45190.91,927.94,1.0007215,1.0143865
1.7776071,0.003681046,23284,1.7776071,1.8132033,0.003681046,4096,37,379.52466,714.1719,-82659.09,2024.04,1.3876338,2.2299447
1.7726417,0.003681046,23285,1.7726417,1.8079265,0.003681046,4096,37,379.5258,714.1757,-81580.55,1972.66,1.3886373,2.2210834
,0.003681046,23286,,,0.003681046,4096,37,379.52484,714.17316,,,,
0.9764387,0.003681046,23287,0.9764387,0.99563617,0.003681046,4096,37,379.5261,714.17554,-40802.05,887.71,0.9995258,1.005044
1.7816286,0.003681046,23288,1.7816286,1.8164377,0.003681046,4096,37,379.52463,714.17224,-79013.09,1982.09,1.3913208,2.2297153
1.7767853,0.003681046,23289,1.7767853,1.8112804,0.003681046,4096,37,379.52698,714.176,-78092.86,1857.63,1.3888202,2.2218719
,0.003681046,23290,,,0.003681046,4096,37,379.52423,714.1752,,,,
0.97898394,0.003681046,23291,0.97898394,0.9977478,0.003681046,4096,37,379.52463,714.1754,-38650.54,850.2,0.9987614,1.0083297
1.7819091,0.003681046,23292,1.7819091,1.8158427,0.003681046,4096,37,379.52457,714.1756,-76635.56,1972.19,1.3905376,2.2242558
1.7811722,0.003681046,23293,1.7811722,1.8148715,0.003681046,4096,37,379.52463,714.17554,-76140.16,1986.22,1.3915114,2.2226624
,0.003681046,23294,,,0.003681046,4096,37,379.52472,714.1758,,,,
0.98001206,0.003681046,23295,0.98001206,0.99831146,0.003681046,4096,37,379.52353,714.174,-36027.97,859.16,0.9988421,1.0080234
1.7835476,0.003681046,23296,1.7835476,1.8166324,0.003681046,4096,37,379.5269,714.1785,-73492.94,1884.96,1.3913245,2.2239199
1.7728804,0.003681046,23297,1.7728804,1.8055477,0.003681046,4096,37,379.52457,714.17505,-71915.74,1833.11,1.3850789,2.207333
,0.003681046,23298,,,0.003681046,4096,37,379.52515,714.17694,,,,
0.981134,0.003681046,23299,0.981134,0.9989702,0.003681046,4096,37,379.52435,714.17535,-31678.68,826.61,0.9986254,1.0058998
1.781461,0.003681046,23300,1.781461,1.8136271,0.003681046,4096,37,379.52435,714.1768,-69991.09,1735.51,1.3919234,2.21425
1.786119,0.003681046,23301,1.786119,1.818149,0.003681046,4096,37,379.52325,714.17566,-70314.23,1886.67,1.3924053,2.2180166
,0.003681046,23302,,,0.003681046,4096,37,379.5267,714.1765,,,,
0.98458755,0.003681046,23303,0.98458755,1.0020012,0.003681046,4096,37,379.52484,714.1775,-32717.38,821.89,1.0014943,1.0095936
1.7811913,0.003681046,23304,1.7811913,1.812474,0.003681046,4096,37,379.52258,714.1769,-71520.95,1611.56,1.3905816,2.2095213
1.7807426,0.003681046,23305,1.7807426,1.8117975,0.003681046,4096,37,379.52408,714.17706,-71669.4,1916.68,1.3888227,2.208933
,0.003681046,23306,,,0.003681046,4096,37,379.52243,714.17456,,,,
0.9864899,0.003681046,23307,0.9864899,1.00345,0.003681046,4096,37,379.52295,714.17725,-31884.4,874.9,1.0022045,1.0099661
1.7797388,0.003681046,23308,1.7797388,1.8101163,0.003681046,4096,37,379.52356,714.17523,-68881.78,1685.25,1.3868381,2.2049515
1.7845333,0.003681046,23309,1.7845333,1.8147728,0.003681046,4096,37,379.5256,714.17926,-67787.98,1778.26,1.3908907,2.2094493
,0.003681046,23310,,,0.003681046,4096,37,379.52203,714.1763,,,,
0.98271126,0.003681046,23311,0.98271126,0.99912024,0.003681046,4096,37,379.52313,714.178,-26660.12,804.61,0.998757,1.0061092
1.7743055,0.003681046,23312,1.7743055,1.8037121,0.003681046,4096,37,379.52185,714.17633,-64087.64,1838.46,1.385691,2.1941516
1.7910142,0.003681046,23313,1.7910142,1.8204756,0.003681046,4096,37,379.52283,714.1773,-64077.47,1703.38,1.39509,2.215569
,0.003681046,23314,,,0.003681046,4096,37,379.52307,714.17883,,,,
0.98194927,0.003681046,23315,0.98194927,0.9978582,0.003681046,4096,37,379.52237,714.1783,-26017.06,807.02,0.999251,0.9995372
1.7788641,0.003681046,23316,1.7788641,1.8074629,0.003681046,4096,37,379.52502,714.1773,-65760.85,1660.44,1.3891935,2.1979342
1.7825563,0.003681046,23317,1.7825563,1.8109925,0.003681046,4096,37,379.5235,714.17834,-67098.62,1614.92,1.3874254,2.2031744
