flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.0045332,0.009391488,179526,1.0045332,1.0127789,0.009391488,4096,93,1083.458,1887.67,3907.14,304.52,1.0078778,1.0137719
0.99568385,0.009391488,179527,0.99568385,1.0031112,0.009391488,4096,94,1083.4506,1887.6658,3060.12,314.27,1.0106331,0.99622566
0.97552085,0.009391488,179528,0.97552085,0.9820814,0.009391488,4096,0,1083.4508,1887.6688,2859.98,318.67,0.98926336,0.98492616
0.9957283,0.009391488,179529,0.9957283,1.0017078,0.009391488,4096,0,1083.448,1887.6687,2213.34,274.09,0.99599075,1.0077825
0.98461807,0.009391488,179530,0.98461807,0.9898359,0.009391488,4096,0,1083.4467,1887.6649,1935.95,279.47,0.99393576,0.98466104
1.0024748,0.009391488,179531,1.0024748,1.007094,0.009391488,4096,0,1083.4424,1887.6682,1558.69,478.98,1.0044965,0.9982945
0.9989203,0.009391488,179532,0.9989203,1.0028461,0.009391488,4096,0,1083.4435,1887.6648,1145.91,231.37,1.0068954,1.0012522
0.99432653,0.009391488,179533,0.99432653,0.9975742,0.009391488,4096,0,1083.4448,1887.6617,1275.29,275.42,0.9972923,0.99366325
0.9957179,0.009391488,179534,0.9957179,0.99832267,0.009391488,4096,0,1083.4415,1887.6628,1212.07,385.42,1.0025487,0.99296635
1.0149266,0.009391488,179535,1.0149266,1.0169355,0.009391488,4096,0,1083.4426,1887.6646,1279.06,246.76,1.007369,1.0209615
1.0150468,0.009391488,179536,1.0150468,1.0164235,0.009391488,4096,0,1083.4457,1887.6646,1056.12,323.33,1.0086682,1.013518
0.99788547,0.009391488,179537,0.99788547,0.99863005,0.009391488,4096,0,1083.4436,1887.6661,1443.11,312.56,0.9945255,1.0014735
1.0129384,0.009391488,179538,1.0129384,1.0130895,0.009391488,4096,0,1083.4404,1887.6661,1021.58,232.37,1.0069635,1.0189122
0.99994606,0.009391488,179539,0.99994606,0.99951136,0.009391488,4096,0,1083.4438,1887.6614,1234.97,284.86,0.9932956,0.9988638
0.97170407,0.009391488,179540,0.97170407,0.9707267,0.009391488,4096,0,1083.4442,1887.6631,1372.79,305.56,0.9842791,0.9714447
0.9960573,0.009391488,179541,0.9960573,0.99449927,0.009391488,4096,0,1083.442,1887.6641,1118.97,331.66,1.0009379,0.9916705
1.0123788,0.009391488,179542,1.0123788,1.0102427,0.009391488,4096,0,1083.4425,1887.6638,1112.51,274.5,1.0061438,1.0159488
1.0197635,0.009391488,179543,1.0197635,1.0170678,0.009391488,4096,0,1083.44,1887.6647,1087.8,300.01,1.0087277,1.0236756
0.9977351,0.009391488,179544,0.9977351,0.9945777,0.009391488,4096,0,1083.4419,1887.6674,1268.26,292.04,0.9943745,0.993925
1.0028238,0.009391488,179545,1.0028238,0.99914,0.009391488,4096,0,1083.4423,1887.6674,1219.99,312.08,1.0039325,0.99911916
0.9941928,0.009391488,179546,0.9941928,0.9900466,0.009391488,4096,0,1083.4403,1887.6626,1307.79,247.98,0.9983148,0.9870624
1.0033866,0.009391488,179547,1.0033866,0.99871534,0.009391488,4096,0,1083.4436,1887.6609,1039.85,268.22,0.9988811,1.0008508
1.000717,0.009391488,179548,1.000717,0.99558455,0.009391488,4096,0,1083.443,1887.6649,1311.49,315.34,0.99693054,0.9905835
0.99314517,0.009391488,179549,0.99314517,0.98759305,0.009391488,0,0,1083.4424,1887.6653,1285.1,167.77,0.99313897,0.97718054
1.0036316,0.009391488,179550,1.0036316,0.997569,0.009391488,0,0,1083.4413,1887.6641,1206.89,286.74,1.000079,1.0004556
0.9967818,0.009391488,179551,0.9967818,0.9903233,0.009391488,0,0,1083.4464,1887.6615,1301.18,287.93,0.99045247,0.9991574
0.98111933,0.009391488,179552,0.98111933,0.97434276,0.009391488,0,0,1083.4434,1887.6656,1318.91,265.03,0.9847106,0.9724599
1.0186088,0.009391488,179553,1.0186088,1.011149,0.009391488,0,0,1083.4397,1887.6632,1009.49,366.15,1.0051224,1.0135378
1.0095352,0.009391488,179554,1.0095352,1.0017326,0.009391488,0,0,1083.4423,1887.6664,1151.21,369.41,1.000597,0.99836355
0.99971443,0.009391488,179555,0.99971443,0.9915932,0.009391488,0,0,1083.4451,1887.6628,1314.01,273.41,0.9945866,0.99534905
1.0038013,0.009391488,179556,1.0038013,0.99526143,0.009391488,0,0,1083.4436,1887.6656,1052.21,412.06,0.993574,0.9942401
