flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
2161.498,11.021787,0.004139176,1640950,1994.6545788981928,1276.8487006530088,5432.158,9.172435,983.8268,2.7165365,2161.498,11.021787,0,,,,,1994.6545788981928,0.0012051865,1276.8487006530088,0.0012436727,-0.018079307,0.0062094396
2166.673,11.0298,0.004139228,1640951,1994.6526677533002,1276.8508221876227,5456.2183,9.179103,978.0534,2.7058644,2166.673,11.0298,0,,,,,1994.6526677533002,0.0012006406,1276.8508221876227,0.0012405455,-0.022116687,0.026288806
2125.4524,11.002006,0.004139279,1640952,1994.65448947401,1276.8477465106992,5405.7466,9.155972,985.47925,2.7118695,2125.4524,11.002006,0,,,,,1994.65448947401,0.001207979,1276.8477465106992,0.0012488479,-0.019014811,0.009284543
2133.081,11.007693,0.0041393307,1640953,1994.6549263430775,1276.849232341141,5414.8115,9.160706,986.1033,2.7102432,2133.081,11.007693,0,,,,,1994.6549263430775,0.0012087584,1276.849232341141,0.001246792,-0.019623,0.0075296657
2143.808,11.031727,0.004139382,1640954,1994.653648870884,1276.850596172443,5435.198,9.180707,991.978,2.7196014,2143.808,11.031727,0,,,,,1994.653648870884,0.0012035202,1276.850596172443,0.001245833,-0.022715578,0.018522602
2154.8906,11.02275,0.004139433,1640955,1994.655271635737,1276.85074425348,5440.0737,9.173235,982.0597,2.7083664,2154.8906,11.02275,0,,,,,1994.655271635737,0.001204426,1276.85074425348,0.001244182,-0.018879997,0.015652897
2142.4902,11.021557,0.004139485,1640956,1994.6540097033574,1276.8490593651006,5432.7017,9.172243,985.2927,2.71372,2142.4902,11.021557,0,,,,,1994.6540097033574,0.0012056326,1276.8490593651006,0.0012446993,-0.020280756,0.012383592
2157.6367,11.021427,0.004139536,1640957,1994.6519442146032,1276.8487981013873,5442.0273,9.172134,980.2628,2.7064261,2157.6367,11.021427,0,,,,,1994.6519442146032,0.0012016734,1276.8487981013873,0.0012432969,-0.022227986,0.009401115
2143.6194,11.020711,0.0041395877,1640958,1994.654614215592,1276.8484031887915,5433.811,9.171538,984.1883,2.7142987,2143.6194,11.020711,0,,,,,1994.654614215592,0.0012029267,1276.8484031887915,0.0012453,-0.01920209,0.01886853
2139.0117,11.015291,0.004139639,1640959,1994.6560536429406,1276.8480568848636,5419.9165,9.167029,986.60364,2.7139661,2139.0117,11.015291,0,,,,,1994.6560536429406,0.0012082919,1276.8480568848636,0.0012468119,-0.02079659,0.005998009
2152.2668,11.037508,0.00413969,1640960,1994.651654785461,1276.8468697895028,5454.0337,9.185517,980.0668,2.7098684,2152.2668,11.037508,0,,,,,1994.651654785461,0.0012015101,1276.8468697895028,0.0012420666,-0.025487704,0.019109039
2157.2952,11.019757,0.004139742,1640961,1994.6569968642282,1276.8514280030936,5446.688,9.170745,977.2539,2.7026093,2157.2952,11.019757,0,,,,,1994.6569968642282,0.0011999803,1276.8514280030936,0.0012414807,-0.019589046,0.014914198
2149.2664,11.027065,0.004139793,1640962,1994.6510925825885,1276.8484733300886,5444.6978,9.176827,981.8224,2.7080073,2149.2664,11.027065,0,,,,,1994.6510925825885,0.0012027755,1276.8484733300886,0.0012435952,-0.025408639,0.016593285
2151.5103,11.025761,0.004139845,1640963,1994.6542570888341,1276.851036085832,5447.4526,9.175741,978.85034,2.7070184,2151.5103,11.025761,0,,,,,1994.6542570888341,0.001201198,1276.851036085832,0.0012421228,-0.019753464,0.018924536
2118.4893,11.015231,0.004139896,1640964,1994.654932893231,1276.84722152412,5416.592,9.166979,985.15704,2.7151005,2118.4893,11.015231,0,,,,,1994.654932893231,0.0012075444,1276.84722152412,0.0012470861,-0.024334826,0.0073190397
2142.3828,11.027283,0.0041399472,1640965,1994.6524387528957,1276.8475440748143,5446.2676,9.177009,979.21704,2.7130182,2142.3828,11.027283,0,,,,,1994.6524387528957,0.0012011523,1276.8475440748143,0.001242926,-0.02200261,0.021029873
2137.6543,11.021186,0.004139999,1640966,1994.653838118101,1276.8476135929802,5437.7144,9.171933,980.6159,2.70785,2137.6543,11.021186,0,,,,,1994.653838118101,0.0012030317,1276.8476135929802,0.0012434921,-0.022531044,0.011660738
2146.1172,11.031677,0.00414005,1640967,1994.649533741649,1276.849265101645,5449.457,9.180665,983.1506,2.7110069,2146.1172,11.031677,0,,,,,1994.649533741649,0.0012022561,1276.849265101645,0.0012419198,-0.02634298,0.016899694
2132.9326,11.02613,0.0041401014,1640968,1994.6552500610821,1276.8483525892289,5437.1997,9.176048,984.5778,2.7110825,2132.9326,11.02613,0,,,,,1994.6552500610821,0.0012003178,1276.8483525892289,0.0012453888,-0.022559064,0.017212963
2136.8594,11.025774,0.004140153,1640969,1994.6512633666803,1276.8476714627782,5445.62,9.175752,982.5021,2.70921,2136.8594,11.025774,0,,,,,1994.6512633666803,0.0012022746,1276.8476714627782,0.0012416282,-0.023787463,0.017304182
2124.0957,11.021033,0.0041402043,1640970,1994.6532995459017,1276.84820483544,5433.523,9.171807,982.0006,2.7127454,2124.0957,11.021033,0,,,,,1994.6532995459017,0.0012016176,1276.84820483544,0.0012446152,-0.022943877,0.018769305
2136.3506,11.026206,0.004140256,1640971,1994.651294693624,1276.8474348390023,5444.2437,9.176112,979.933,2.7102306,2136.3506,11.026206,0,,,,,1994.651294693624,0.0012028047,1276.8474348390023,0.00124289,-0.025610976,0.01374364
2149.0417,11.037164,0.004140307,1640972,1994.6507393672207,1276.850643218045,5453.4204,9.18523,983.65137,2.7108696,2149.0417,11.037164,0,,,,,1994.6507393672207,0.001202657,1276.850643218045,0.0012429052,-0.024941016,0.017733332
2149.52,11.034248,0.0041403584,1640973,1994.6545326215196,1276.8481214809144,5448.8057,9.182805,979.55054,2.7059572,2149.52,11.034248,0,,,,,1994.6545326215196,0.0012015584,1276.8481214809144,0.0012434375,-0.021947611,0.011276632
2145.1511,11.037291,0.00414041,1640974,1994.652925629111,1276.8484538428802,5452.427,9.185337,982.7404,2.713097,2145.1511,11.037291,0,,,,,1994.652925629111,0.0012045659,1276.8484538428802,0.0012413968,-0.02465494,0.0176026
2138.7195,11.031046,0.0041404613,1640975,1994.6509612379318,1276.8490360775852,5449.279,9.18014,984.11163,2.709321,2138.7195,11.031046,0,,,,,1994.6509612379318,0.0012018599,1276.8490360775852,0.0012424422,-0.025541341,0.01557289
2138.6372,11.035733,0.0041405126,1640976,1994.6529443565726,1276.8499046958736,5454.0693,9.18404,984.54095,2.707698,2138.6372,11.035733,0,,,,,1994.6529443565726,0.0012024548,1276.8499046958736,0.0012417801,-0.024534289,0.021656696
2127.5154,11.0316515,0.0041405642,1640977,1994.652997056495,1276.8484973326583,5438.4966,9.180643,986.3212,2.713061,2127.5154,11.0316515,0,,,,,1994.652997056495,0.0012061897,1276.8484973326583,0.0012442423,-0.02485852,0.019325638
2122.1162,11.024932,0.0041406155,1640978,1994.6535593962922,1276.8481487580557,5438.2065,9.175052,984.4028,2.7123306,2122.1162,11.024932,0,,,,,1994.6535593962922,0.0012042114,1276.8481487580557,0.0012422384,-0.025371347,0.018227357
2132.951,11.027787,0.0041406667,1640979,1994.6520627501877,1276.8502920639119,5447.6333,9.177427,981.0931,2.7087395,2132.951,11.027787,0,,,,,1994.6520627501877,0.0012032007,1276.8502920639119,0.0012417805,-0.025350694,0.021580791
