flux,flux_err,cadenceno,sap_flux,det_flux,det_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,det_flux_sml,det_flux_lag,sys_rm_flux
0.9845389,0.003000634,1053003,0.9845389,0.98784035,0.003000634,1073743872,0,1076.5663,1819.901,23167.9,441.97,0.9902421,0.98394865,0.9917492
1.0008,0.003000634,1053004,1.0008,1.0035679,0.003000634,1073743872,0,1076.5663,1819.8994,23069.31,530.14,1.0026852,1.0053871,1.0075586
0.9966221,0.003000634,1053005,0.9966221,0.99984986,0.003000634,1073743872,0,1076.5635,1819.9011,22850.73,508.81,0.99988467,1.001429,1.0038456
0.997222,0.003000634,1053006,0.997222,1.000545,0.003000634,1073743872,0,1076.5669,1819.9027,22890.68,527.76,1.001757,0.99858814,1.0045637
0.9956135,0.003000634,1053007,0.9956135,0.9987823,0.003000634,1073743872,0,1076.5684,1819.8977,22779.17,559.54,0.9994791,0.999627,1.0028145
1.0038775,0.003000634,1053008,1.0038775,1.0070542,0.003000634,1073743872,0,1076.5695,1819.904,22521.05,444.28,1.0047704,1.0091333,1.011141
0.9996573,0.003000634,1053009,0.9996573,1.0027522,0.003000634,1073743872,0,1076.5636,1819.8987,22762.93,404.43,1.0022697,1.0014095,1.0068429
0.9890382,0.003000634,1053010,0.9890382,0.991577,0.003000634,1073743872,0,1076.5671,1819.9019,22740.94,486.96,0.9946979,0.987556,0.9956435
1.0053805,0.003000634,1053011,1.0053805,1.0089822,0.003000634,1073743872,0,1076.5669,1819.8986,22246.06,533.32,1.0060229,1.011072,1.0131422
0.98891366,0.003000634,1053012,0.98891366,0.99119925,0.003000634,1073743872,0,1076.5706,1819.9037,22418.54,606.36,0.99419564,0.9881917,0.995308
0.9950651,0.003000634,1053013,0.9950651,0.9982883,0.003000634,1073743872,0,1076.5686,1819.9043,22230.07,573.48,0.9991883,0.99786526,1.0024489
1.0014465,0.003000634,1053014,1.0014465,1.0049782,0.003000634,1073743872,0,1076.5684,1819.9042,22137.54,592.09,1.0029439,1.0060885,1.0091897
1.0014181,0.003000634,1053015,1.0014181,1.0041959,0.003000634,1073743872,0,1076.5663,1819.9016,22117.79,461.74,1.0030673,1.0040281,1.0084276
1.0011777,0.003000634,1053016,1.0011777,1.0040108,0.003000634,1073743872,0,1076.5671,1819.9006,22048.97,501.49,1.0039806,1.0022805,1.0082653
0.98912376,0.003000634,1053017,0.98912376,0.9922148,0.003000634,1073743872,0,1076.5634,1819.9042,22009.99,495.36,0.9930637,0.9904421,0.9964429
1.0005177,0.003000634,1053018,1.0005177,1.0031645,0.003000634,1073743872,0,1076.5674,1819.9016,21788.08,606.13,1.003407,1.0049639,1.0074633
0.9935099,0.003000634,1053019,0.9935099,0.99665827,0.003000634,1073743872,0,1076.5688,1819.9049,21828.64,564.82,0.99570006,0.9962883,1.0009534
0.99315566,0.003000634,1053020,0.99315566,0.99535865,0.003000634,1073743872,0,1076.567,1819.9021,21803.43,607.19,0.9958394,0.99483293,0.9996728
0.988193,0.003000634,1053021,0.988193,0.99088085,0.003000634,1073743872,0,1076.5721,1819.9036,21891.09,465.19,0.9942159,0.9866494,0.99520016
0.9902757,0.003000634,1053022,0.9902757,0.99319226,0.003000634,1073743872,0,1076.5695,1819.906,21643.58,591.37,0.9919558,0.99136525,0.99754655
1.0038669,0.003000634,1053023,1.0038669,1.0056677,0.003000634,1073743872,0,1076.5685,1819.9054,21468.78,533.1,1.0032407,1.0077797,1.0101022
1.0045924,0.003000634,1053024,1.0045924,1.0074025,0.003000634,1073743872,0,1076.5679,1819.9062,21215.1,535.13,1.0033795,1.010177,1.0118704
1.0028485,0.003000634,1053025,1.0028485,1.0054777,0.003000634,1073743872,0,1076.5679,1819.9058,21193.52,634.67,1.0028671,1.0073534,1.0099629
0.99566776,0.003000634,1053026,0.99566776,0.9988334,0.003000634,1073743872,0,1076.5725,1819.9065,21193.99,566.95,0.99884063,0.9970996,1.003315
1.001519,0.003000634,1053027,1.001519,1.0037417,0.003000634,1073743872,0,1076.5734,1819.9053,20987.81,446.35,1.000918,1.0066202,1.0082716
1.0050999,0.003000634,1053028,1.0050999,1.007937,0.003000634,1073743872,0,1076.5726,1819.9028,20978.43,469.17,1.0071667,1.0105126,1.0125123
0.9892741,0.003000634,1053029,0.9892741,0.991568,0.003000634,1073743872,0,1076.5732,1819.9103,21188.61,499.4,0.9935331,0.9882588,0.9960954
1.0029187,0.003000634,1053030,1.0029187,1.0050465,0.003000634,1073743872,0,1076.5756,1819.9043,20884.15,470.57,1.0038047,1.0069585,1.0096623
0.9917065,0.003000634,1053031,0.9917065,0.9938359,0.003000634,1073743872,0,1076.5764,1819.902,20816.19,580.29,0.9953532,0.99050313,0.998427
0.9993222,0.003000634,1053032,0.9993222,1.0021007,0.003000634,1073743872,0,1076.575,1819.9078,20687.73,498.34,1.0011349,1.0034015,1.006757
1.0019045,0.003000634,1053033,1.0019045,1.0039165,0.003000634,1073743872,0,1076.5776,1819.9075,20345.79,420.61,1.0019708,1.006615,1.0086086
0.997417,0.003000634,1053034,0.997417,0.99946666,0.003000634,1073743872,0,1076.5751,1819.9042,20588.95,382.5,0.9992038,1.0010554,1.0041653
0.999202,0.003000634,1053035,0.999202,1.0010538,0.003000634,1073743872,0,1076.5789,1819.9072,20547.89,589.16,1.0007896,1.0015526,1.0057875
0.9911258,0.003000634,1053036,0.9911258,0.99377805,0.003000634,1073743872,0,1076.575,1819.9061,20503.58,556.89,0.9952753,0.99118507,0.9985048
1.0008247,0.003000634,1053037,1.0008247,1.0031363,0.003000634,1073743872,0,1076.5704,1819.9059,20369.69,484.04,1.0031501,1.0031056,1.0079354
0.9914373,0.003000634,1053038,0.9914373,0.9937176,0.003000634,1073743872,0,1076.5793,1819.9069,20375.94,639.53,0.9959777,0.9910913,0.9984994
0.999582,0.003000634,1053039,0.999582,1.0019677,0.003000634,1073743872,0,1076.5781,1819.9103,20279.72,637.56,1.0017267,1.0017407,1.0068172
0.9966145,0.003000634,1053040,0.9966145,0.999849,0.003000634,1073743872,0,1076.5798,1819.9089,20145.72,533.13,0.9998594,0.9981202,1.0047164
1.0016873,0.003000634,1053041,1.0016873,1.0036396,0.003000634,1073743872,0,1076.5812,1819.9087,20017.57,619.75,1.002933,1.0061737,1.0085536
0.9908145,0.003000634,1053042,0.9908145,0.99259764,0.003000634,1073743872,0,1076.5839,1819.909,19823.22,559.93,0.9944817,0.9912608,0.9974857
1.0070603,0.003000634,1053043,1.0070603,1.0082049,0.003000634,1073743872,0,1076.5809,1819.9061,19802.49,448.69,1.006459,1.0105872,1.0131984
0.99604434,0.003000634,1053044,0.99604434,0.99821067,0.003000634,1073743872,0,1076.5829,1819.9116,19881.34,450.18,0.99755394,0.99919844,1.003183
0.9978002,0.003000634,1053045,0.9978002,1.000042,0.003000634,1073743872,0,1076.5854,1819.9075,19697.89,409.81,1.000261,1.0007173,1.0050519
0.9937052,0.003000634,1053046,0.9937052,0.9957034,0.003000634,1073743872,0,1076.581,1819.908,19817.79,446.97,0.9958157,0.9955994,1.0007199
0.99986637,0.003000634,1053047,0.99986637,1.0024233,0.003000634,1073743872,0,1076.5815,1819.9082,19637.79,436.04,1.0010582,1.0044757,1.0075023
0.99626815,0.003000634,1053048,0.99626815,0.9980797,0.003000634,1073743872,0,1076.5822,1819.9078,19503.78,462.69,0.9993458,0.9966761,1.0031652
0.98800945,0.003000634,1053049,0.98800945,0.98985904,0.003000634,1073743872,0,1076.5841,1819.9062,19770.7,380.51,0.9924685,0.98572797,0.99493104
0.9923555,0.003000634,1053050,0.9923555,0.99499524,0.003000634,1073743872,0,1076.584,1819.909,19628.2,318.92,0.99650645,0.9922924,1.0001221
1.0073122,0.003000634,1053051,1.0073122,1.0086668,0.003000634,1073743872,0,1076.5817,1819.9089,19193.56,517.12,1.0068494,1.0108452,1.0138929
0.996328,0.003000634,1053052,0.996328,0.99884605,0.003000634,1073743872,0,1076.5808,1819.9113,19196.5,445.63,0.999752,0.9973161,1.0040499
0.99817073,0.003000634,1053053,0.99817073,1.0002624,0.003000634,1073743872,0,1076.5801,1819.9115,19313.44,581.33,1.0002974,1.000651,1.0055022
0.98823506,0.003000634,1053054,0.98823506,0.9902067,0.003000634,1073743872,0,1076.5833,1819.9127,19417.14,471.94,0.9907282,0.9882207,0.99542224
0.9966199,0.003000634,1053055,0.9966199,0.9981183,0.003000634,1073743872,0,1076.5857,1819.9128,19036.32,497.57,0.9984765,0.9968847,1.003404
0.99875635,0.003000634,1053056,0.99875635,1.0008335,0.003000634,1073743872,0,1076.5823,1819.9115,19069.17,418.05,1.0001503,1.0013093,1.0061623
1.0049657,0.003000634,1053057,1.0049657,1.0065708,0.003000634,1073743872,0,1076.5853,1819.9124,18882.23,533.42,1.005668,1.0062585,1.0119587
0.99776506,0.003000634,1053058,0.99776506,0.99920684,0.003000634,1073743872,0,1076.5935,1819.9143,18865.11,560.97,0.9998751,0.9998847,1.0045838
0.99339247,0.003000634,1053059,0.99339247,0.99397206,0.003000634,1073743872,0,1076.582,1819.9127,18795.95,564.79,0.9951114,0.9924467,0.9993491
0.98968154,0.003000634,1053060,0.98968154,0.99204177,0.003000634,1073743872,0,1076.5878,1819.9137,18920.18,637.67,0.9938463,0.9890086,0.9974365
0.99825656,0.003000634,1053061,0.99825656,1.000177,0.003000634,1073743872,0,1076.5898,1819.9133,18603.16,318.4,1.0008309,0.9989553,1.0056443
1.0013587,0.003000634,1053062,1.0013587,1.0019176,0.003000634,1073743872,0,1076.5873,1819.9137,18432.34,446.32,1.0014563,1.0027139,1.0074227
0.99265754,0.003000634,1053063,0.99265754,0.9936185,0.003000634,1073743872,0,1076.5883,1819.9143,18657.04,474.68,0.99402493,0.99168885,0.9991059
1.0032809,0.003000634,1053064,1.0032809,1.0050571,0.003000634,1073743872,0,1076.5898,1819.9128,18292.69,502.22,1.0029981,1.0072682,1.0106359
0.9975042,0.003000634,1053065,0.9975042,0.9995451,0.003000634,1073743872,0,1076.5872,1819.9121,18353.57,611.47,0.9987853,0.99913365,1.0051211
1.0012604,0.003000634,1053066,1.0012604,1.0014774,0.003000634,1073743872,0,1076.587,1819.9163,18298.57,419.6,1.0022283,1.0023289,1.007092
1.007321,0.003000634,1053067,1.007321,1.0084091,0.003000634,1073743872,0,1076.5892,1819.9137,17888.98,399.07,1.0055022,1.0116357,1.0140907
0.99366915,0.003000634,1053068,0.99366915,0.9952254,0.003000634,1073743872,0,1076.5894,1819.9141,18251.24,418.03,0.99643654,0.9925924,1.0008601
1.0052369,0.003000634,1053069,1.0052369,1.006033,0.003000634,1073743872,0,1076.588,1819.9163,17903.06,499.85,1.0043674,1.0067855,1.0117563
1.0004474,0.003000634,1053070,1.0004474,1.00214,0.003000634,1073743872,0,1076.5905,1819.9172,17856.08,694.2,1.0020192,1.0028404,1.0078686
0.9962675,0.003000634,1053071,0.9962675,0.99768263,0.003000634,1073743872,0,1076.5897,1819.9156,17938.43,463.31,0.9980525,0.99797624,1.0034128
1.0005435,0.003000634,1053072,1.0005435,1.0021669,0.003000634,1073743872,0,1076.5872,1819.9143,17847.34,393.37,1.0011488,1.0030376,1.0079498
0.98992133,0.003000634,1053073,0.98992133,0.99118567,0.003000634,1073743872,0,1076.5928,1819.9133,17830.61,445.86,0.9930173,0.9888359,0.9969318
1.0065163,0.003000634,1053074,1.0065163,1.0077716,0.003000634,1073743872,0,1076.591,1819.916,17479.63,490.5,1.004156,1.0109344,1.0136408
1.0066546,0.003000634,1053075,1.0066546,1.0070782,0.003000634,1073743872,0,1076.5896,1819.9174,17391.08,493.28,1.0052371,1.0108612,1.01297
1.0020868,0.003000634,1053076,1.0020868,1.0038189,0.003000634,1073743872,0,1076.5946,1819.9215,17382.1,611.79,1.0018847,1.0061773,1.0097178
1.0023546,0.003000634,1053077,1.0023546,1.003294,0.003000634,1073743872,0,1076.5936,1819.9165,17538.28,462.16,1.0020063,1.0047494,1.009216
1.0148331,0.003000634,1053078,1.0148331,1.0160316,0.003000634,1073743872,0,1076.5939,1819.9159,17039.83,625.09,1.0098493,1.0213177,1.0220551
