flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.0873386,0.002922921,12681,1.0873386,0.9973938,0.002922921,4096,21,768.20483,1535.6127,561.8,6522.14,0.9990869,0.9956213
1.0721585,0.002922921,12682,1.0721585,0.99768996,0.002922921,0,21,768.2009,1535.6102,641.56,6228.07,0.99842894,0.9963203
1.05576,0.002922921,12683,1.05576,0.995067,0.002922921,0,21,768.1984,1535.6053,833.25,5603.25,0.9979932,0.99215287
1.0560938,0.002922921,12684,1.0560938,1.0066882,0.002922921,0,21,768.1992,1535.6056,43.37,5097.63,1.0020144,1.0097346
1.0340291,0.002922921,12685,1.0340291,0.9954613,0.002922921,4096,21,768.2017,1535.6022,474.78,4448.33,0.9971634,0.9945637
1.0213765,0.002922921,12686,1.0213765,0.99176514,0.002922921,0,21,768.2013,1535.6011,460.39,3634.63,0.9922287,0.99189323
1.0094694,0.002922921,12687,1.0094694,0.9874598,0.002922921,4096,21,768.20233,1535.5988,755.01,3587.26,0.991861,0.98381674
1.0127733,0.002922921,12688,1.0127733,0.9969015,0.002922921,0,21,768.1938,1535.604,171.4,3084.51,0.9972799,0.99713624
1.0143932,0.002922921,12689,1.0143932,1.0037127,0.002922921,4096,21,768.1934,1535.6036,434.43,2755.0,1.0037577,1.0031381
1.0130963,0.002922921,12690,1.0130963,1.0067121,0.002922921,0,21,768.18933,1535.6058,-89.52,2164.55,1.0044112,1.0092282
1.0013479,0.002922921,12691,1.0013479,0.99843156,0.002922921,0,21,768.19104,1535.6106,337.21,1687.63,0.99955827,0.9973132
0.99640876,0.002922921,12692,0.99640876,0.9961286,0.002922921,0,21,768.18524,1535.609,382.92,1412.19,0.99723524,0.994617
1.0007664,0.002922921,12693,1.0007664,1.0024457,0.002922921,0,21,768.18396,1535.6085,126.94,1019.28,1.000702,1.0038458
