flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.0147566,0.0019456389,16415,1.0147566,1.0058936,0.0019456389,4096,27,806.96875,1950.8524,-6771.07,2112.38,1.0051941,1.0036201
1.0020291,0.0019456389,16416,1.0020291,0.9945663,0.0019456389,4096,27,806.96436,1950.848,-3555.64,1386.26,0.9991993,0.9867757
1.0055909,0.0019456389,16417,1.0055909,0.9993054,0.0019456389,4096,27,806.96204,1950.8462,-4843.6,2251.23,1.0000887,0.99744284
1.0045425,0.0019456389,16418,1.0045425,0.9993871,0.0019456389,4096,27,806.9617,1950.8418,-3908.03,3282.57,1.0004112,0.99747086
0.99866396,0.0019456389,16419,0.99866396,0.9945855,0.0019456389,4096,27,806.9543,1950.8406,-2937.97,2529.17,0.9976312,0.9900427
1.0055277,0.0019456389,16420,1.0055277,1.002414,0.0019456389,4096,27,806.95294,1950.8386,-3175.59,3341.15,1.0018744,0.99909306
1.0047255,0.0019456389,16421,1.0047255,1.0025558,0.0019456389,4096,27,806.9492,1950.8323,-4648.29,2467.57,1.0030861,1.0001212
1.010303,0.0019456389,16422,1.010303,1.0090262,0.0019456389,4096,27,806.95074,1950.8356,-4914.21,3668.8,1.0036898,1.0141753
1.0051421,0.0019456389,16423,1.0051421,1.0047412,0.0019456389,4096,27,806.946,1950.8346,-3746.38,2737.01,1.0008296,1.0053927
1.0002973,0.0019456389,16424,1.0002973,1.0007416,0.0019456389,4096,27,806.9455,1950.8365,-3245.86,3226.89,1.000145,0.9994441
0.99873346,0.0019456389,16425,0.99873346,1.000007,0.0019456389,4096,27,806.94165,1950.8293,-3877.44,3089.74,0.9999666,1.0001353
0.9997177,0.0019456389,16426,0.9997177,1.0018208,0.0019456389,4096,27,806.9447,1950.8303,-3584.23,3502.4,0.9997655,1.0036352
0.9941316,0.0019456389,16427,0.9941316,0.9970548,0.0019456389,4096,27,806.9428,1950.8242,-3295.93,2661.7,0.9976496,0.9978678
1.0020903,0.0019456389,16428,1.0020903,1.0058936,0.0019456389,4096,27,806.9381,1950.8195,-4941.03,2408.67,1.0043856,1.0100095
0.9942233,0.0019456389,16429,0.9942233,0.9988737,0.0019456389,4096,27,806.9381,1950.8167,-3726.04,2497.31,1.0008463,1.0011944
0.98927003,0.0019456389,16430,0.98927003,0.9948066,0.0019456389,4096,27,806.93585,1950.8142,-3470.36,2590.34,0.9994705,0.9940973
0.9895141,0.0019456389,16431,0.9895141,0.99600875,0.0019456389,4096,27,806.93787,1950.816,-3096.96,2839.81,0.9988825,0.99768907
0.99146,0.0019456389,16432,0.99146,0.998979,0.0019456389,4096,27,806.9387,1950.8151,-3942.01,2184.67,1.0005271,1.001731
0.99033076,0.0019456389,16433,0.99033076,0.99889565,0.0019456389,4096,27,806.93756,1950.8142,-3538.7,3666.59,0.99903953,1.0014583
0.98746926,0.0019456389,16434,0.98746926,0.9970907,0.0019456389,4096,27,806.93616,1950.8159,-2970.44,3637.25,0.99978745,0.9983018
0.99130625,0.0019456389,16435,0.99130625,1.0020689,0.0019456389,4096,27,806.939,1950.8143,-3596.65,3109.16,1.0004419,1.00463
0.985503,0.0019456389,16436,0.985503,0.9973053,0.0019456389,4096,27,806.9365,1950.8158,-2841.77,2516.69,0.9986535,0.9993195
0.98973095,0.0019456389,16437,0.98973095,1.0026826,0.0019456389,4096,27,806.9369,1950.8135,-2582.25,3289.71,1.000782,1.0053107
0.9887036,0.0019456389,16438,0.9887036,1.0027187,0.0019456389,4096,27,806.9349,1950.8118,-1978.55,3254.99,1.0013088,1.0039675
0.99055475,0.0019456389,16439,0.99055475,1.0056409,0.0019456389,4096,27,806.9336,1950.8081,-2307.31,2752.53,1.0022802,1.0097373
1.0008491,0.0019456389,16440,1.0008491,1.0170996,0.0019456389,4096,27,806.93475,1950.812,-3831.46,3726.25,1.007211,1.0233663
0.99024767,0.0019456389,16441,0.99024767,1.0072622,0.0019456389,4096,27,806.9361,1950.8116,-1512.68,2936.13,1.0014741,1.0054669
0.98730093,0.0019456389,16442,0.98730093,1.0051252,0.0019456389,4096,27,806.9349,1950.8037,-1100.65,2564.07,1.0022722,1.0066803
0.985586,0.0019456389,16443,0.985586,1.0041518,0.0019456389,4096,27,806.9366,1950.8116,-1881.07,3075.57,0.9987868,0.99902374
0.97780496,0.0019456389,16444,0.97780496,0.996891,0.0019456389,4096,27,806.93616,1950.8082,-1979.17,2805.99,0.9937202,0.9943986
0.97632545,0.0019456389,16445,0.97632545,0.99593616,0.0019456389,4096,27,806.9368,1950.8029,-1633.52,2214.04,0.99322975,0.9936591
0.9753223,0.0019456389,16446,0.9753223,0.9953415,0.0019456389,4096,27,806.932,1950.7927,-1308.57,2796.86,0.99857104,0.9932734
0.98151875,0.0019456389,16447,0.98151875,1.0019572,0.0019456389,4096,27,806.93384,1950.8052,-1128.25,2554.25,0.99837023,0.9977355
0.97967595,0.0019456389,16448,0.97967595,1.0002222,0.0019456389,4096,27,806.93225,1950.7997,-1189.4,1842.15,0.99868596,0.9981317
0.9781113,0.0019456389,16449,0.9781113,0.9986386,0.0019456389,4096,27,806.934,1950.7968,-780.07,2926.29,0.9990667,0.99411213
0.9780916,0.0019456389,16450,0.9780916,0.9985193,0.0019456389,4096,27,806.9327,1950.7935,-1093.0,2601.84,0.99943364,0.99805105
0.9814313,0.0019456389,16451,0.9814313,1.0017327,0.0019456389,4096,27,806.93353,1950.788,-2515.71,2847.75,1.0011513,1.0026033
0.9808782,0.0019456389,16452,0.9808782,1.0008955,0.0019456389,4096,27,806.9338,1950.7969,-2191.98,2234.69,0.9994415,0.997258
0.98444235,0.0019456389,16453,0.98444235,1.0041977,0.0019456389,4096,27,806.9321,1950.7927,-2216.69,2413.46,1.0018243,1.0050342
0.98455507,0.0019456389,16454,0.98455507,1.0039376,0.0019456389,4096,27,806.93494,1950.7952,-2611.69,2468.06,1.0022784,1.0059917
0.98209554,0.0019456389,16455,0.98209554,1.0010326,0.0019456389,4096,27,806.9339,1950.7949,-1639.5,2725.73,1.0007917,1.0040371
0.977108,0.0019456389,16456,0.977108,0.9955487,0.0019456389,4096,27,806.9335,1950.7902,-1753.6,2701.84,0.99897987,0.9952934
0.977677,0.0019456389,16457,0.977677,0.9957411,0.0019456389,4096,27,806.93445,1950.7905,-1566.75,2496.43,0.99727637,0.9942038
0.97723466,0.0019456389,16458,0.97723466,0.99493414,0.0019456389,4096,27,806.93414,1950.7911,-1554.23,2694.94,0.99828076,0.99488175
0.9808185,0.0019456389,16459,0.9808185,0.9982755,0.0019456389,4096,27,806.9321,1950.7905,-1601.94,1957.87,0.99927646,1.0004578
0.9823643,0.0019456389,16460,0.9823643,0.99960744,0.0019456389,4096,27,806.9314,1950.7898,-1022.94,2422.34,1.0011435,1.0010581
0.98138773,0.0019456389,16461,0.98138773,0.9984588,0.0019456389,4096,27,806.9312,1950.7848,-1478.34,2062.45,1.0005324,1.0037577
0.98713577,0.0019456389,16462,0.98713577,1.004255,0.0019456389,4096,27,806.9339,1950.7938,-1881.67,2141.45,1.0027311,1.0053742
0.98676515,0.0019456389,16463,0.98676515,1.003949,0.0019456389,4096,27,806.9321,1950.7899,-2363.68,2323.7,1.0028429,1.0080632
0.9835393,0.0019456389,16464,0.9835393,1.0008682,0.0019456389,4096,27,806.9332,1950.7931,-2103.96,2179.73,1.0014477,1.0067749
0.9838006,0.0019456389,16465,0.9838006,1.0014486,0.0019456389,4096,27,806.93256,1950.7894,-2178.98,2215.93,1.0011927,1.0042003
0.97875684,0.0019456389,16466,0.97875684,0.9967168,0.0019456389,4096,27,806.9334,1950.7932,-1189.29,2740.22,0.99752605,0.99647695
0.97865736,0.0019456389,16467,0.97865736,0.99708194,0.0019456389,4096,27,806.93256,1950.7921,-1559.64,1208.35,0.9976365,0.9949123
0.98358744,0.0019456389,16468,0.98358744,1.0026149,0.0019456389,4096,27,806.9329,1950.7911,-2770.65,1922.11,1.0002354,1.0033169
0.9810217,0.0019456389,16469,0.9810217,1.0005271,0.0019456389,4096,27,806.9326,1950.7861,-2086.32,1785.93,1.0019598,1.0019317
0.9846054,0.0019456389,16470,0.9846054,1.0047041,0.0019456389,4096,27,806.93427,1950.7853,-2850.45,1793.51,1.0026422,1.0069757
0.979231,0.0019456389,16471,0.979231,0.9997102,0.0019456389,4096,27,806.93524,1950.7886,-1116.68,861.49,0.9987184,0.99772936
