flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1.0956708,0.0014018993,23228,1.0956708,1.0000386,0.0014018993,4096,37,985.8866,10.542436,-57849.09,2063.34,0.9984614,2.0531056e+12
1.0911468,0.0014018993,23229,1.0911468,0.99633515,0.0014018993,4096,37,985.884,10.541567,-57309.33,1926.02,0.9970618,8.9999645e+11
1.0947603,0.0014018993,23230,1.0947603,1.0000352,0.0014018993,4096,37,985.88446,10.542481,-57774.97,1827.11,0.99894387,4.0482416e+11
0.99713105,0.0014018993,23231,0.99713105,0.9111938,0.0014018993,4096,37,985.88306,10.541487,-32621.09,1327.66,0.9546209,1.611607e+11
1.0955967,0.0014018993,23232,1.0955967,1.0015216,0.0014018993,4096,37,985.88477,10.543699,-58344.45,1967.35,1.0001994,8.518099e+10
1.0925069,0.0014018993,23233,1.0925069,0.9990202,0.0014018993,4096,37,985.8834,10.54018,-57905.47,1944.68,0.998457,3.9840838e+10
1.0932192,0.0014018993,23234,1.0932192,0.99997103,0.0014018993,4096,37,985.8839,10.541143,-57453.92,2240.18,1.0000623,1.895652e+10
0.99771935,0.0014018993,23235,0.99771935,0.91286886,0.0014018993,4096,37,985.8829,10.53893,-33167.11,1069.27,0.95453954,8.047617e+09
1.0912309,0.0014018993,23236,1.0912309,0.99868155,0.0014018993,4096,37,985.8832,10.543089,-57110.19,1858.46,0.9983904,4.4876457e+09
1.0900851,0.0014018993,23237,1.0900851,0.99786437,0.0014018993,4096,37,985.8836,10.539158,-56413.56,1921.34,0.9998568,2.2295048e+09
1.0924473,0.0014018993,23238,1.0924473,1.0002381,0.0014018993,4096,37,985.88367,10.535135,-57364.66,2023.07,1.0004067,1.1323057e+09
0.9965219,0.0014018993,23239,0.9965219,0.9125843,0.0014018993,4096,37,985.8835,10.536014,-32935.06,791.09,0.9557384,5.089192e+08
1.0935078,0.0014018993,23240,1.0935078,1.0015736,0.0014018993,4096,37,985.8826,10.534004,-57556.22,2476.76,1.0014372,3.017476e+08
1.0906497,0.0014018993,23241,1.0906497,0.99910885,0.0014018993,4096,37,985.8816,10.5387535,-56732.53,1556.0,1.0006652,1.5855747e+08
1.0936271,0.0014018993,23242,1.0936271,1.001973,0.0014018993,4096,37,985.8822,10.530075,-57293.16,2109.14,1.0017425,8.518333e+07
0.99399203,0.0014018993,23243,0.99399203,0.9107969,0.0014018993,4096,37,985.8838,10.532374,-32286.78,1453.5,0.95447665,4.035567e+07
1.0939478,0.0014018993,23244,1.0939478,1.0024906,0.0014018993,4096,37,985.88367,10.529926,-57512.91,2319.0,1.0018815,2.5397886e+07
1.0943296,0.0014018993,23245,1.0943296,1.0029292,0.0014018993,4096,37,985.8846,10.534888,-57735.55,2181.07,1.0026209,1.4180418e+07
1.0930107,0.0014018993,23246,1.0930107,1.0017943,0.0014018993,4096,37,985.88257,10.531517,-57748.06,2241.32,1.0016694,7.9902825e+06
0.99775803,0.0014018993,23247,0.99775803,0.91454625,0.0014018993,4096,37,985.8821,10.533871,-33217.44,810.37,0.9575669,4.0207995e+06
1.091047,0.0014018993,23248,1.091047,1.0001028,0.0014018993,4096,37,985.88165,10.530981,-57339.08,2056.22,1.0015963,2.6464615e+06
1.0907131,0.0014018993,23249,1.0907131,0.9998331,0.0014018993,4096,37,985.87915,10.533291,-56647.45,2004.62,1.0013677,1.5513595e+06
1.0951062,0.0014018993,23250,1.0951062,1.0038847,0.0014018993,4096,37,985.88135,10.529381,-57813.62,2348.91,1.0026606,928879.56
0.99633104,0.0014018993,23251,0.99633104,0.9133509,0.0014018993,4096,37,985.8787,10.52669,-32393.0,1455.04,0.95601803,488979.34
1.0885634,0.0014018993,23252,1.0885634,0.9979064,0.0014018993,4096,37,985.8825,10.53043,-56592.09,1984.21,0.99919575,338641.25
1.0932451,0.0014018993,23253,1.0932451,1.0021939,0.0014018993,4096,37,985.8817,10.525818,-57297.58,2213.75,1.0016562,210233.73
,0.0014018993,23254,,,0.0014018993,4096,37,985.8817,10.532516,,,,
0.99286866,0.0014018993,23255,0.99286866,0.9101491,0.0014018993,4096,37,985.87976,10.528322,-32744.02,1256.62,0.95446575,72700.51
1.0913368,0.0014018993,23256,1.0913368,1.0003883,0.0014018993,4096,37,985.8797,10.531767,-57459.12,1959.02,1.0021966,53116.188
1.0880871,0.0014018993,23257,1.0880871,0.9973789,0.0014018993,4096,37,985.8786,10.530542,-56692.31,1468.38,0.99939764,34268.79
,0.0014018993,23258,,,0.0014018993,4096,37,985.87897,10.528619,,,,
0.9950915,0.0014018993,23259,0.9950915,0.9120674,0.0014018993,4096,37,985.87744,10.530208,-32847.61,1269.74,0.9556612,13097.904
1.0901616,0.0014018993,23260,1.0901616,0.99916327,0.0014018993,4096,37,985.8772,10.528401,-57395.98,2176.72,0.99964696,9994.83
1.0919201,0.0014018993,23261,1.0919201,1.0007302,0.0014018993,4096,37,985.88074,10.529698,-57424.44,2207.7,1.0008031,6785.2686
1.0900209,0.0014018993,23262,1.0900209,0.99894303,0.0014018993,4096,37,985.8762,10.530848,-57020.16,1325.06,1.0001713,4641.202
0.99254113,0.0014018993,23263,0.99254113,0.9095657,0.0014018993,4096,37,985.87897,10.53231,-32533.12,1241.69,0.95406175,2814.9365
1.0884408,0.0014018993,23264,1.0884408,0.99740076,0.0014018993,4096,37,985.87634,10.529331,-57210.16,2053.68,0.9988965,2245.9307
1.0900708,0.0014018993,23265,1.0900708,0.99884915,0.0014018993,4096,37,985.8768,10.531618,-57411.66,2080.64,0.9998261,1591.8779
,0.0014018993,23266,,,0.0014018993,4096,37,985.872,10.531777,,,,
0.99585545,0.0014018993,23267,0.99585545,0.9124392,0.0014018993,4096,37,985.8756,10.52978,-32697.56,1137.76,0.95603985,720.8071
1.0881137,0.0014018993,23268,1.0881137,0.9969313,0.0014018993,4096,37,985.87915,10.528666,-56850.25,1380.15,0.99823606,596.8131
1.0896288,0.0014018993,23269,1.0896288,0.9982851,0.0014018993,4096,37,985.8775,10.530673,-56946.56,1795.29,0.99993676,440.47174
,0.0014018993,23270,,,0.0014018993,4096,37,985.87354,10.533296,,,,
0.99576813,0.0014018993,23271,0.99576813,0.91224444,0.0014018993,4096,37,985.87317,10.528196,-32168.75,695.57,0.9553448,216.22118
1.0916328,0.0014018993,23272,1.0916328,1.0000519,0.0014018993,4096,37,985.8735,10.532062,-56301.91,2018.02,1.0003997,186.76656
1.092611,0.0014018993,23273,1.092611,1.0009377,0.0014018993,4096,37,985.8701,10.528758,-56050.78,1970.34,1.0003532,142.99037
,0.0014018993,23274,,,0.0014018993,4096,37,985.87274,10.534721,,,,
0.9965808,0.0014018993,23275,0.9965808,0.9129699,0.0014018993,4096,37,985.87427,10.524946,-30691.5,1166.54,0.9546972,75.452354
1.0887092,0.0014018993,23276,1.0887092,0.9973859,0.0014018993,4096,37,985.87604,10.533394,-54166.38,1254.92,0.99772584,67.31364
1.0899656,0.0014018993,23277,1.0899656,0.9985649,0.0014018993,4096,37,985.8711,10.528737,-53528.47,1160.47,0.99845266,53.35531
,0.0014018993,23278,,,0.0014018993,4096,37,985.87274,10.532061,,,,
0.9974484,0.0014018993,23279,0.9974484,0.9138886,0.0014018993,4096,37,985.8702,10.531495,-28537.75,1089.61,0.95562595,30.29799
1.0927956,0.0014018993,23280,1.0927956,1.0013123,0.0014018993,4096,37,985.87134,10.530213,-52295.0,2037.76,0.999892,28.01838
1.0862577,0.0014018993,23281,1.0862577,0.9953992,0.0014018993,4096,37,985.8747,10.530753,-51271.34,1653.62,0.9967737,22.792797
,0.0014018993,23282,,,0.0014018993,4096,37,985.8745,10.531781,,,,
0.9943135,0.0014018993,23283,0.9943135,0.91132826,0.0014018993,4096,37,985.8735,10.534801,-26344.81,1194.23,0.95340496,13.795085
1.0911278,0.0014018993,23284,1.0911278,1.0001862,0.0014018993,4096,37,985.87006,10.529644,-49672.98,1180.76,0.9986035,13.185745
1.0894313,0.0014018993,23285,1.0894313,0.9987719,0.0014018993,4096,37,985.8731,10.533044,-49151.0,1275.9,0.9978284,11.119258
,0.0014018993,23286,,,0.0014018993,4096,37,985.8706,10.528361,,,,
0.9950572,0.0014018993,23287,0.9950572,0.9125586,0.0014018993,4096,37,985.8733,10.532912,-24043.05,963.46,0.95337737,7.13498
1.0902736,0.0014018993,23288,1.0902736,1.0000782,0.0014018993,4096,37,985.8712,10.527129,-47690.47,1693.5,0.99806505,7.0030766
1.0884073,0.0014018993,23289,1.0884073,0.9985824,0.0014018993,4096,37,985.87836,10.534502,-47877.81,1756.83,0.9975944,6.075627
,0.0014018993,23290,,,0.0014018993,4096,37,985.8736,10.530216,,,,
0.9964145,0.0014018993,23291,0.9964145,0.914637,0.0014018993,4096,37,985.8715,10.532045,-22746.92,968.13,0.9544046,4.1264644
1.0925208,0.0014018993,23292,1.0925208,1.0031389,0.0014018993,4096,37,985.87146,10.529593,-46693.69,1719.57,0.9988974,4.16472
