flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
0.9926134,0.0032747174,226028,0.9926134,0.9927802,0.0032747174,4096,117,98.18732,642.1475,-5834.99,513.92,0.9947069,0.9862585
0.99156684,0.0032747174,226029,0.99156684,0.99321747,0.0032747174,4096,118,98.18701,642.1493,-5761.53,334.34,0.99665046,0.9918952
0.99603313,0.0032747174,226030,0.99603313,0.99773335,0.0032747174,4096,0,98.18734,642.1442,-5772.21,522.22,0.9990609,0.9974988
0.9932717,0.0032747174,226031,0.9932717,0.99500847,0.0032747174,4096,0,98.18581,642.14856,-5698.78,475.88,0.9977213,0.9939822
0.9955707,0.0032747174,226032,0.9955707,0.9973523,0.0032747174,4096,0,98.18432,642.1429,-5705.54,431.0,0.9995244,0.997084
0.9989669,0.0032747174,226033,0.9989669,1.0007949,0.0032747174,4096,0,98.18644,642.1485,-5752.78,412.84,0.999692,1.0024526
0.99921286,0.0032747174,226034,0.99921286,1.001081,0.0032747174,4096,0,98.18834,642.1484,-6045.77,499.91,0.9997888,1.0029961
0.99974704,0.0032747174,226035,0.99974704,1.0016552,0.0032747174,0,0,98.188576,642.1459,-5957.58,490.4,1.0017818,1.0017399
0.9957057,0.0032747174,226036,0.9957057,0.99764436,0.0032747174,0,0,98.18328,642.1442,-5819.83,409.77,0.9986514,0.9993737
0.9945243,0.0032747174,226037,0.9945243,0.9964983,0.0032747174,0,0,98.18456,642.1434,-5669.38,491.81,0.9977969,0.9976079
1.0010551,0.0032747174,226038,1.0010551,1.0030793,0.0032747174,0,0,98.185265,642.13617,-5983.9,388.84,1.0018946,1.00458
0.99545836,0.0032747174,226039,0.99545836,0.9975076,0.0032747174,4096,0,98.18437,642.14044,-5788.06,464.06,0.99835235,0.9988458
1.0003899,0.0032747174,226040,1.0003899,1.0024853,0.0032747174,0,0,98.18361,642.1423,-5834.34,421.62,0.99961525,1.004652
0.9943367,0.0032747174,226041,0.9943367,0.9964546,0.0032747174,0,0,98.18547,642.1414,-5766.36,497.91,0.9968726,0.99645954
0.99774265,0.0032747174,226042,0.99774265,0.9999024,0.0032747174,0,0,98.18536,642.1408,-5893.72,377.71,0.999598,1.0015535
1.0019982,0.0032747174,226043,1.0019982,1.0042014,0.0032747174,0,0,98.18766,642.14215,-6001.66,432.56,1.0021589,1.0066212
1.0013489,0.0032747174,226044,1.0013489,1.0035843,0.0032747174,0,0,98.18228,642.1371,-5913.25,446.04,0.9990372,1.0080392
1.0004015,0.0032747174,226045,1.0004015,1.0026678,0.0032747174,0,0,98.18623,642.1355,-5707.13,456.59,1.0024105,1.0039011
0.9967037,0.0032747174,226046,0.9967037,0.9989939,0.0032747174,0,0,98.18829,642.1405,-5519.2,441.15,1.0007305,0.9976801
0.9972634,0.0032747174,226047,0.9972634,0.9995866,0.0032747174,0,0,98.18707,642.1369,-5806.78,448.1,0.9983712,1.0003183
0.994332,0.0032747174,226048,0.994332,0.9966795,0.0032747174,0,0,98.186424,642.13776,-5919.3,472.08,0.99815655,0.9978982
0.9990189,0.0032747174,226049,0.9990189,1.0014081,0.0032747174,0,0,98.18671,642.1367,-5806.7,353.8,1.0005203,1.0034641
0.9971148,0.0032747174,226050,0.9971148,0.9995294,0.0032747174,0,0,98.18283,642.1397,-5789.51,356.72,0.9973285,1.0006863
1.0004603,0.0032747174,226051,1.0004603,1.0029126,0.0032747174,0,0,98.18393,642.1344,-5896.81,248.84,1.0016236,1.0054773
0.9997443,0.0032747174,226052,0.9997443,1.0022238,0.0032747174,0,0,98.18436,642.13544,-5801.66,424.66,1.0018312,1.0014207
0.9986952,0.0032747174,226053,0.9986952,1.0012006,0.0032747174,0,0,98.18408,642.1393,-5910.16,410.77,1.0012391,0.99953014
1.002081,0.0032747174,226054,1.002081,1.0046229,0.0032747174,0,0,98.18469,642.1395,-5879.05,329.49,1.0020884,1.0047746
0.9925935,0.0032747174,226055,0.9925935,0.99513847,0.0032747174,0,0,98.18583,642.1365,-5809.88,446.59,0.9967399,0.99410236
1.0015781,0.0032747174,226056,1.0015781,1.0041729,0.0032747174,0,0,98.185745,642.136,-5856.31,353.7,1.0027043,1.0042096
